"","cells","sc3.Initial","Monocle.Initial","Seurat.Initial","Consensus.Initial","sc3.33","Monocle.33","Seurat.33","Consensus.33","sc3.66","Monocle.66","Seurat.66","Consensus.66","sc3.90","Monocle.90","Seurat.90","Consensus.90","sc3.Final","Monocle.Final","Seurat.Final","Consensus.Final"
"162","SM-GE64S_S001_E1-50",13,16,11,-1,13,16,11,-1,13,16,11,-1,13,16,11,-1,12,16,11,8
"163","SM-GE64S_S002_E1-50",6,9,2,1,6,9,2,2,6,9,2,2,6,9,2,2,6,9,2,2
"164","SM-GE64S_S003_E1-50",19,3,10,10,19,3,10,9,19,3,10,9,19,3,10,9,19,3,10,9
"165","SM-GE64S_S004_E1-50",12,16,9,9,12,16,9,8,12,16,9,8,12,16,9,8,12,16,9,8
"166","SM-GE64S_S005_E1-50",22,16,11,12,22,16,11,11,22,16,11,11,22,16,11,11,22,16,11,11
"167","SM-GE64S_S006_E1-50",22,16,11,12,22,16,11,11,22,16,11,11,22,16,11,11,22,16,11,11
"168","SM-GE64S_S007_E1-50",22,3,11,12,22,3,11,11,22,3,11,11,22,3,11,11,22,3,11,11
"169","SM-GE64S_S008_E1-50",19,3,10,10,19,3,10,9,19,3,10,9,19,3,10,9,19,3,10,9
"170","SM-GE64S_S009_E1-50",12,16,9,9,12,16,9,8,12,16,9,8,12,16,9,8,12,16,9,8
"171","SM-GE64S_S010_E1-50",19,3,10,10,19,3,10,9,19,3,10,9,19,3,10,9,19,3,10,9
"172","SM-GE64S_S011_E1-50",22,3,11,12,22,3,11,11,22,3,11,11,22,3,11,11,22,3,11,11
"173","SM-GE64S_S012_E1-50",22,16,11,12,22,16,11,11,22,16,11,11,22,16,11,11,22,16,11,11
"174","SM-GE64S_S013_E1-50",22,16,11,12,22,16,11,11,22,16,11,11,22,16,11,11,22,16,11,11
"175","SM-GE64S_S014_E1-50",13,16,9,9,13,16,9,8,13,16,9,8,13,16,9,8,12,16,9,8
"176","SM-GE64S_S015_E1-50",6,9,2,1,6,9,2,2,6,9,2,2,6,9,2,2,6,9,2,2
"177","SM-GE64S_S016_E1-50",12,16,9,9,12,16,9,8,12,16,9,8,12,16,9,8,12,16,9,8
"178","SM-GE64S_S025_E1-50",6,9,2,1,6,9,2,2,6,9,2,2,6,9,2,2,6,9,2,2
"179","SM-GE64S_S026_E1-50",8,2,3,7,8,2,3,6,8,2,3,6,8,2,3,3,8,2,3,3
"180","SM-GE64S_S027_E1-50",6,9,2,1,6,9,2,2,6,9,2,2,6,9,2,2,6,9,2,2
"181","SM-GE64S_S028_E1-50",6,12,2,1,6,9,2,2,6,9,2,2,6,9,2,2,6,9,2,2
"182","SM-GE64S_S029_E1-50",6,9,2,1,6,9,2,2,6,9,2,2,6,9,2,2,6,9,2,2
"183","SM-GE64S_S030_E1-50",6,9,2,1,6,9,2,2,6,9,2,2,6,9,2,2,6,9,2,2
"184","SM-GE64S_S031_E1-50",19,3,10,10,19,3,10,9,19,3,10,9,19,3,10,9,19,3,10,9
"185","SM-GE64S_S032_E1-50",22,23,11,12,22,23,11,11,22,23,11,11,22,23,11,11,22,23,11,11
"186","SM-GE64S_S033_E1-50",19,3,10,10,19,3,10,9,19,3,10,9,19,3,10,9,19,3,10,9
"187","SM-GE64S_S034_E1-50",8,13,3,13,8,13,3,12,8,13,3,12,8,13,3,3,8,2,3,3
"188","SM-GE64S_S035_E1-50",10,20,5,6,10,20,5,5,10,20,5,5,10,4,5,4,10,4,5,4
"189","SM-GE64S_S036_E1-50",11,20,7,-1,11,20,7,-1,11,20,7,-1,10,4,7,4,10,4,7,4
"190","SM-GE64S_S037_E1-50",12,16,9,9,12,16,9,8,12,16,9,8,12,16,9,8,12,16,9,8
"191","SM-GE64S_S038_E1-50",17,19,7,5,17,19,7,4,17,19,7,4,17,19,7,6,16,19,7,6
"192","SM-GE64S_S039_E1-50",17,19,7,5,17,19,7,4,17,19,7,4,17,19,7,6,16,19,7,6
"193","SM-GE64S_S040_E1-50",22,3,11,12,22,3,11,11,22,3,11,11,22,3,11,11,22,3,11,11
"194","SM-GE64S_S041_E1-50",10,4,5,6,10,4,5,5,10,4,5,5,10,4,5,4,10,4,5,4
"195","SM-GE64S_S042_E1-50",12,16,9,9,12,16,9,8,12,16,9,8,12,16,9,8,12,16,9,8
"196","SM-GE64S_S043_E1-50",8,13,3,13,8,13,3,12,8,13,3,12,8,13,3,3,8,2,3,3
"197","SM-GE64S_S044_E1-50",8,2,3,7,8,2,3,6,8,2,3,6,8,2,3,3,8,2,3,3
"198","SM-GE64S_S045_E1-50",17,19,7,5,17,19,7,4,17,19,7,4,17,19,7,6,16,19,7,6
"199","SM-GE64S_S046_E1-50",22,16,11,12,22,16,11,11,22,16,11,11,22,16,11,11,22,16,11,11
"200","SM-GE64S_S047_E1-50",10,20,5,6,10,20,5,5,10,20,5,5,10,4,5,4,10,4,5,4
"201","SM-GE64S_S048_E1-50",19,3,10,10,19,3,10,9,19,3,10,9,19,3,10,9,19,3,10,9
"202","SM-GE64S_S049_E1-50",19,3,10,10,19,3,10,9,19,3,10,9,19,3,10,9,19,3,10,9
