cells,sc3-Initial,Monocle-Initial,Seurat-Initial,Consensus-Initial,sc3-33,Monocle-33,Seurat-33,Consensus-33,sc3-66,Monocle-66,Seurat-66,Consensus-66,sc3-90,Monocle-90,Seurat-90,Consensus-90,sc3-Final,Monocle-Final,Seurat-Final,Consensus-Final
Evan_MC_C1_cell414435,5,35,1,10,65,12,20,-1,65,12,20,-1,65,12,20,-1,4,14,1,4
Evan_MC_C1_cell414624,49,10,6,2,79,9,2,34,79,9,2,33,79,9,2,38,16,6,6,45
Evan_MC_C1_cell414704,57,33,15,18,58,16,11,5,58,16,11,6,58,16,11,4,57,33,15,13
Evan_MC_C1_cell414794,79,9,2,60,19,24,4,107,17,4,4,81,17,4,4,67,51,9,2,46
Evan_MC_C1_cell414992,12,15,3,142,49,8,10,12,49,8,10,7,49,8,10,13,1,15,3,50
Evan_MC_C1_cell415081,20,21,9,-1,1,15,3,36,1,15,3,52,1,15,3,55,20,21,9,6
Evan_MC_C1_cell415102,6,20,1,16,79,9,2,34,79,9,2,33,79,9,2,38,4,14,1,4
Evan_MC_C1_cell415116,75,25,16,-1,31,3,7,1,31,3,7,1,31,3,7,2,75,25,16,-1
Evan_MC_C1_cell415369,79,9,2,60,19,28,4,107,17,4,4,81,17,4,4,67,51,9,2,46
Evan_MC_C1_cell415988,54,30,9,9,17,4,4,72,17,4,4,81,17,4,4,67,53,21,9,6
Evan_MC_C1_cell416143,49,6,6,-1,63,31,13,15,63,31,13,11,63,31,13,12,16,6,6,45
Evan_MC_C1_cell416156,12,26,3,142,52,7,14,52,52,7,14,51,52,7,14,47,1,15,3,50
Evan_MC_C1_cell416239,54,30,9,9,79,9,2,34,79,9,2,33,79,9,2,38,53,21,9,6
Evan_MC_C1_cell416391,4,30,9,9,25,27,1,4,25,14,1,3,25,14,1,5,4,21,9,6
Evan_MC_C1_cell416500,53,6,6,-1,24,17,5,9,24,17,5,9,24,17,5,10,53,6,6,45
Evan_MC_C1_cell416701,57,33,15,18,57,33,15,16,57,33,15,20,57,33,15,23,57,33,15,13
Evan_MC_C1_cell416751,63,22,12,20,31,4,4,72,31,4,4,-1,31,4,4,-1,63,22,12,17
Evan_MC_C1_cell416760,25,1,5,13,21,16,11,5,21,16,11,6,21,16,11,4,20,1,5,20
Evan_MC_C1_cell417122,49,19,6,2,49,13,8,64,49,13,8,63,49,13,8,53,16,6,6,45
Evan_MC_C1_cell417147,62,8,10,15,73,13,8,64,73,13,8,63,73,13,8,53,39,8,10,52
Evan_MC_C1_cell417317,24,17,5,85,79,9,2,34,79,9,2,33,79,9,2,38,20,1,5,20
Evan_MC_C1_cell417349,52,7,14,52,49,9,2,-1,49,9,2,-1,49,9,2,-1,52,7,14,40
Evan_MC_C1_cell417404,79,34,2,60,79,9,2,34,79,9,2,33,79,9,2,38,51,9,2,46
Evan_MC_C1_cell417646,54,18,11,-1,12,15,35,-1,1,15,35,-1,1,15,35,-1,53,16,11,14
Evan_MC_C1_cell418386,4,35,1,10,25,17,5,9,25,17,5,9,25,17,5,10,4,14,1,4
Evan_MC_C1_cell418709,52,7,14,52,19,4,4,107,17,4,4,81,17,4,4,67,52,7,14,40
Evan_MC_C1_cell418846,49,19,25,-1,6,20,1,73,5,14,1,3,4,14,1,5,16,6,6,45
Evan_MC_C1_cell418910,12,26,3,142,79,9,29,34,79,9,29,33,79,9,29,38,1,15,3,50
Evan_MC_C1_cell419009,27,1,5,13,49,19,6,2,49,19,6,2,49,6,6,1,20,1,5,20
Evan_MC_C1_cell419569,53,5,31,-1,12,15,3,36,1,15,3,52,1,15,3,55,53,5,31,-1
Evan_MC_C1_cell419638,5,20,1,16,5,35,1,57,5,14,1,3,4,14,1,5,4,14,1,4
Evan_MC_C1_cell419659,79,11,2,55,12,15,3,36,1,15,3,52,1,15,3,55,51,9,2,46
Evan_MC_C1_cell420237,68,31,13,19,24,17,5,9,24,17,5,9,24,17,5,10,68,31,13,11
Evan_MC_C1_cell420332,79,9,2,60,79,9,2,34,79,9,2,33,79,9,2,38,51,9,2,46
Evan_MC_C1_cell420391,24,17,5,85,24,17,5,9,24,17,5,9,24,17,5,10,20,1,5,20
Evan_MC_C1_cell420573,20,17,5,-1,53,30,9,11,53,30,9,17,53,30,9,18,20,1,5,20
Evan_MC_C1_cell420986,5,20,1,16,24,12,20,-1,24,12,20,-1,24,12,20,-1,4,14,1,4
Evan_MC_C1_cell421900,12,15,3,142,79,9,2,34,79,9,2,33,79,9,2,38,1,15,3,50
Evan_MC_C1_cell422146,80,11,2,55,78,18,9,-1,78,18,9,-1,4,18,9,-1,51,9,2,46
Evan_MC_C1_cell422202,79,11,2,55,12,15,3,36,1,15,3,52,1,15,3,55,51,9,2,46
Evan_MC_C1_cell422204,12,26,3,142,75,25,16,-1,75,25,16,-1,75,25,16,-1,1,15,3,50
