cells,sc3-Initial,Monocle-Initial,Seurat-Initial,Consensus-Initial,sc3-33,Monocle-33,Seurat-33,Consensus-33,sc3-66,Monocle-66,Seurat-66,Consensus-66,sc3-90,Monocle-90,Seurat-90,Consensus-90,sc3-Final,Monocle-Final,Seurat-Final,Consensus-Final
Evan_MC_E1_cell224165,68,31,13,19,24,17,5,9,24,17,5,9,24,17,5,10,68,31,13,11
Evan_MC_E1_cell224388,62,8,10,15,12,15,3,36,1,15,3,52,1,15,3,55,39,8,10,52
Evan_MC_E1_cell225009,69,32,19,-1,64,29,17,-1,64,29,17,-1,64,29,17,-1,50,32,19,-1
Evan_MC_E1_cell225222,70,31,13,19,68,31,13,15,68,31,13,11,68,31,13,12,68,31,13,11
Evan_MC_E1_cell225587,7,1,18,-1,4,30,9,11,4,30,9,17,4,30,9,18,7,1,18,-1
Evan_MC_E1_cell225778,49,22,7,-1,49,15,3,36,49,15,3,52,49,15,3,55,16,22,7,-1
Evan_MC_E1_cell226054,4,14,1,24,5,20,1,57,5,14,1,3,4,14,1,5,4,14,1,4
Evan_MC_E1_cell226452,68,31,13,19,54,18,11,-1,54,18,11,-1,54,18,11,-1,68,31,13,11
Evan_MC_E1_cell226607,79,9,2,60,20,1,1,-1,20,1,1,-1,20,1,1,-1,51,9,2,46
Evan_MC_E1_cell227017,78,1,18,-1,52,7,14,52,52,7,14,51,52,7,14,47,4,1,18,-1
Evan_MC_E1_cell227110,49,3,6,14,78,27,1,4,78,14,1,3,4,14,1,5,16,3,6,19
Evan_MC_E1_cell227336,78,1,1,-1,57,33,15,16,57,33,15,20,57,33,15,23,4,1,1,-1
Evan_MC_E1_cell227404,54,30,11,-1,79,9,2,34,79,9,2,33,79,9,2,38,53,21,11,-1
Evan_MC_E1_cell227553,79,9,2,60,75,25,16,-1,75,25,16,-1,75,25,16,-1,51,9,2,46
Evan_MC_E1_cell227860,71,36,24,-1,79,9,2,34,79,9,2,33,79,9,2,38,71,36,24,-1
Evan_MC_E1_cell228234,31,3,7,1,52,7,14,52,52,7,14,51,52,7,14,47,10,3,7,1
Evan_MC_E1_cell228512,49,3,6,14,6,27,1,73,5,14,1,3,4,14,1,5,16,3,6,19
Evan_MC_E1_cell228655,4,35,1,10,73,13,8,64,73,13,8,63,73,13,8,53,4,14,1,4
Evan_MC_E1_cell228711,53,30,9,9,12,15,3,36,1,15,3,52,1,15,3,55,53,21,9,6
Evan_MC_E1_cell229026,78,27,1,27,64,29,17,-1,64,29,17,-1,64,29,17,-1,4,14,1,4
Evan_MC_E1_cell229063,66,22,12,20,21,16,11,5,21,16,11,6,21,16,11,4,63,22,12,17
Evan_MC_E1_cell229729,31,10,7,1,79,9,34,34,79,9,34,33,79,9,34,38,10,6,7,1
Evan_MC_E1_cell230007,54,30,9,9,49,32,22,-1,49,32,22,-1,49,32,22,-1,53,21,9,6
Evan_MC_E1_cell230285,64,29,17,-1,53,30,9,11,53,30,9,17,53,30,9,18,64,29,17,-1
Evan_MC_E1_cell230286,12,15,3,142,68,31,13,15,68,31,13,11,68,31,13,12,1,15,3,50
Evan_MC_E1_cell230425,75,25,16,-1,49,19,6,2,49,19,6,2,49,6,6,1,75,25,16,-1
Evan_MC_E1_cell230499,31,28,7,1,12,15,3,36,1,15,3,52,1,15,3,55,10,4,7,1
Evan_MC_E1_cell230881,73,13,8,54,58,16,11,5,58,16,11,6,58,16,11,4,73,13,8,30
Evan_MC_E1_cell230998,75,13,8,-1,54,18,11,-1,54,18,11,-1,54,18,11,-1,75,13,8,-1
Evan_MC_E1_cell231083,31,10,7,1,79,9,2,34,79,9,2,33,79,9,2,38,10,6,7,1
Evan_MC_E1_cell231096,69,32,19,-1,70,31,13,15,70,31,13,11,70,31,13,12,50,32,19,-1
Evan_MC_E1_cell231173,19,24,4,108,1,15,3,36,1,15,3,52,1,15,3,55,17,4,4,53
Evan_MC_E1_cell231218,20,21,9,-1,79,9,2,34,79,9,2,33,79,9,2,38,20,21,9,6
Evan_MC_E1_cell232184,68,31,13,19,72,36,21,-1,72,36,21,-1,72,36,21,-1,68,31,13,11
Evan_MC_E1_cell232394,73,13,8,54,68,31,13,15,68,31,13,11,68,31,13,12,73,13,8,30
Evan_MC_E1_cell232460,49,10,7,-1,49,19,6,2,49,19,6,2,49,6,6,1,16,6,7,-1
Evan_MC_E1_cell232562,49,3,6,14,49,10,7,-1,49,10,7,-1,49,6,7,-1,16,3,6,19
Evan_MC_E1_cell232646,20,1,5,13,49,19,6,2,49,19,6,2,49,6,6,1,20,1,5,20
Evan_MC_E1_cell232719,79,9,2,60,57,30,9,11,57,30,9,17,57,30,9,18,51,9,2,46
Evan_MC_E1_cell232816,18,24,4,67,79,9,2,34,79,9,2,33,79,9,2,38,17,4,4,53
Evan_MC_E1_cell233809,28,16,11,4,12,15,3,36,1,15,3,52,1,15,3,55,21,16,11,14
Evan_MC_E1_cell234259,52,7,14,52,17,4,4,72,17,4,4,81,17,4,4,67,52,7,14,40
Evan_MC_E1_cell234335,63,22,12,20,54,18,11,-1,54,18,11,-1,54,18,11,-1,63,22,12,17
Evan_MC_E1_cell234689,31,17,5,-1,12,20,1,-1,1,14,1,3,1,14,1,5,10,1,5,20
Evan_MC_E1_cell234979,31,36,7,1,73,13,8,64,73,13,8,63,73,13,8,53,10,36,7,1
Evan_MC_E1_cell235108,1,26,3,-1,79,9,2,34,79,9,2,33,79,9,2,38,1,15,3,50
Evan_MC_E1_cell235115,79,11,2,55,74,36,28,-1,74,36,28,-1,74,36,28,-1,51,9,2,46
Evan_MC_E1_cell235219,79,9,2,60,49,6,6,2,49,6,6,2,49,6,6,1,51,9,2,46
Evan_MC_E1_cell235242,68,31,13,19,18,24,4,90,17,4,4,81,17,4,4,67,68,31,13,11
Evan_MC_E1_cell235549,49,4,7,-1,4,27,1,4,4,14,1,3,4,14,1,5,16,4,7,-1
Evan_MC_E1_cell235783,12,15,3,142,31,3,7,1,31,3,7,1,31,3,7,2,1,15,3,50
Evan_MC_E1_cell235990,68,31,13,19,6,14,1,73,5,14,1,3,4,14,1,5,68,31,13,11
Evan_MC_E1_cell236068,70,31,13,19,78,27,1,4,78,14,1,3,4,14,1,5,68,31,13,11
Evan_MC_E1_cell236296,49,19,29,-1,8,27,1,4,8,14,1,3,4,14,1,5,16,6,6,45
Evan_MC_E1_cell236301,63,22,12,20,19,24,4,107,17,4,4,81,17,4,4,67,63,22,12,17
Evan_MC_E1_cell236362,19,24,4,108,52,7,14,52,52,7,14,51,52,7,14,47,17,4,4,53
Evan_MC_E1_cell236977,6,35,1,10,5,20,1,57,5,14,1,3,4,14,1,5,4,14,1,4
Evan_MC_E1_cell237019,78,27,1,27,79,9,2,34,79,9,2,33,79,9,2,38,4,14,1,4
Evan_MC_E1_cell237311,57,33,15,18,73,13,8,64,73,13,8,63,73,13,8,53,57,33,15,13
Evan_MC_E1_cell237467,58,18,11,-1,1,15,3,36,1,15,3,52,1,15,3,55,21,16,11,14
Evan_MC_E1_cell237552,20,1,5,13,79,9,2,34,79,9,2,33,79,9,2,38,20,1,5,20
Evan_MC_E1_cell237570,54,30,11,-1,78,27,1,4,78,14,1,3,4,14,1,5,53,21,11,-1
Evan_MC_E1_cell238068,79,9,2,60,31,33,7,1,31,33,7,1,31,33,7,2,51,9,2,46
Evan_MC_E1_cell238397,18,24,4,67,79,9,2,34,79,9,2,33,79,9,2,38,17,4,4,53
Evan_MC_E1_cell238519,66,22,12,20,12,15,3,36,1,15,3,52,1,15,3,55,63,22,12,17
Evan_MC_E1_cell238548,17,4,4,56,14,14,1,-1,14,14,1,3,4,14,1,5,17,4,4,53
Evan_MC_E1_cell238623,31,17,5,-1,79,9,2,34,79,9,2,33,79,9,2,38,10,1,5,20
Evan_MC_E1_cell238953,19,24,4,108,12,15,3,36,1,15,3,52,1,15,3,55,17,4,4,53
Evan_MC_E1_cell239043,17,4,4,56,79,9,2,34,79,9,2,33,79,9,2,38,17,4,4,53
Evan_MC_E1_cell239583,49,36,22,-1,24,17,5,9,24,17,5,9,24,17,5,10,16,36,22,-1
Evan_MC_E1_cell240071,54,28,4,-1,63,22,12,17,63,22,12,18,63,22,12,19,53,4,4,53
Evan_MC_E1_cell240114,63,22,12,20,78,9,2,-1,78,9,2,-1,4,9,2,-1,63,22,12,17
Evan_MC_E1_cell240196,12,15,3,142,49,9,2,-1,49,9,2,-1,49,9,2,-1,1,15,3,50
Evan_MC_E1_cell240523,49,3,7,14,73,13,8,64,73,13,8,63,73,13,8,53,16,3,7,19
Evan_MC_E1_cell240563,52,7,14,52,63,22,12,17,63,22,12,18,63,22,12,19,52,7,14,40
Evan_MC_E1_cell240951,70,31,13,19,75,25,16,-1,75,25,16,-1,75,25,16,-1,68,31,13,11
Evan_MC_E1_cell240978,79,11,29,-1,73,13,8,64,73,13,8,63,73,13,8,53,51,9,6,-1
Evan_MC_E1_cell241015,65,8,10,15,29,16,11,5,29,16,11,6,29,16,11,4,65,8,10,-1
Evan_MC_E1_cell241039,12,15,3,142,18,24,4,90,17,4,4,81,17,4,4,67,1,15,3,50
Evan_MC_E1_cell241074,58,2,18,-1,14,23,30,-1,14,23,30,-1,4,23,30,-1,21,2,18,-1
Evan_MC_E1_cell241352,52,7,14,52,79,9,2,34,79,9,2,33,79,9,2,38,52,7,14,40
Evan_MC_E1_cell241419,54,18,11,-1,73,13,8,64,73,13,8,63,73,13,8,53,53,16,11,14
Evan_MC_E1_cell241663,6,14,1,24,12,15,3,36,1,15,3,52,1,15,3,55,4,14,1,4
Evan_MC_E1_cell241861,40,10,7,-1,40,8,10,12,40,8,10,7,39,8,10,13,39,6,7,-1
Evan_MC_E1_cell241863,49,8,26,-1,72,36,21,-1,72,36,21,-1,72,36,21,-1,16,8,6,-1
Evan_MC_E1_cell242083,48,3,7,-1,49,19,7,-1,49,19,7,-1,49,6,7,-1,10,3,7,1
Evan_MC_E1_cell242112,49,36,7,-1,5,20,1,57,5,14,1,3,4,14,1,5,16,36,7,-1
Evan_MC_E1_cell242129,12,15,3,142,31,24,4,-1,31,4,4,-1,31,4,4,-1,1,15,3,50
Evan_MC_E1_cell242570,66,29,17,-1,49,19,10,-1,49,19,10,-1,49,6,10,-1,63,29,17,-1
Evan_MC_E1_cell242651,64,29,17,-1,54,30,18,32,54,30,18,31,54,30,18,28,64,29,17,-1
Evan_MC_E1_cell242718,49,3,7,14,6,14,1,73,5,14,1,3,4,14,1,5,16,3,7,19
Evan_MC_E1_cell243180,18,24,4,67,49,13,21,-1,49,13,21,-1,49,13,21,-1,17,4,4,53
Evan_MC_E1_cell243226,12,15,3,142,1,15,3,36,1,15,3,52,1,15,3,55,1,15,3,50
Evan_MC_E1_cell243233,73,13,8,54,18,24,4,90,17,4,4,81,17,4,4,67,73,13,8,30
Evan_MC_E1_cell243297,49,3,7,14,12,15,3,36,1,15,3,52,1,15,3,55,16,3,7,19
Evan_MC_E1_cell243424,63,22,12,20,27,1,5,-1,27,1,5,-1,27,1,5,-1,63,22,12,17
Evan_MC_E1_cell243592,12,15,3,142,63,22,12,17,63,22,12,18,63,22,12,19,1,15,3,50
Evan_MC_E1_cell243636,73,13,8,54,70,31,13,15,70,31,13,11,70,31,13,12,73,13,8,30
Evan_MC_E1_cell243708,69,32,19,-1,24,17,5,9,24,17,5,9,24,17,5,10,50,32,19,-1
Evan_MC_E1_cell244044,12,15,3,142,72,36,21,-1,72,36,21,-1,72,36,21,-1,1,15,3,50
Evan_MC_E1_cell244340,53,30,9,9,73,13,8,64,73,13,8,63,73,13,8,53,53,21,9,6
Evan_MC_E1_cell244435,19,28,4,108,12,15,3,36,1,15,3,52,1,15,3,55,17,4,4,53
Evan_MC_E1_cell244464,79,34,2,60,4,35,1,-1,4,14,1,3,4,14,1,5,51,9,2,46
Evan_MC_E1_cell244664,44,8,10,15,2,15,3,36,1,15,3,52,1,15,3,55,39,8,10,52
Evan_MC_E1_cell244802,78,27,1,27,4,35,1,-1,4,14,1,3,4,14,1,5,4,14,1,4
Evan_MC_E1_cell244819,78,27,1,27,79,9,23,34,79,9,23,33,79,9,2,38,4,14,1,4
Evan_MC_E1_cell244847,19,28,4,108,13,35,1,-1,13,14,1,3,4,14,1,5,17,4,4,53
Evan_MC_E1_cell244870,80,27,1,-1,73,13,8,64,73,13,8,63,73,13,8,53,51,14,1,-1
Evan_MC_E1_cell244907,12,15,3,142,79,9,2,34,79,9,2,33,79,9,2,38,1,15,3,50
Evan_MC_E1_cell244925,73,13,8,54,79,9,2,34,79,9,2,33,79,9,2,38,73,13,8,30
Evan_MC_E1_cell244979,5,20,1,16,62,8,10,12,62,8,10,7,39,8,10,13,4,14,1,4
Evan_MC_E1_cell244980,17,4,4,56,79,9,34,34,79,9,34,33,79,9,34,38,17,4,4,53
Evan_MC_E1_cell245057,49,8,10,15,24,17,5,9,24,17,5,9,24,17,5,10,16,8,10,-1
Evan_MC_E1_cell245416,65,12,20,-1,79,9,2,34,79,9,2,33,79,9,2,38,65,12,20,-1
Evan_MC_E1_cell245634,53,33,15,18,73,13,8,64,73,13,8,63,73,13,8,53,53,33,15,13
Evan_MC_E1_cell245744,73,13,8,54,66,29,17,-1,66,29,17,-1,66,29,17,-1,73,13,8,30
Evan_MC_E1_cell245927,65,12,20,-1,79,27,1,4,79,14,1,3,79,14,1,5,65,12,20,-1
Evan_MC_E1_cell245978,31,10,7,1,57,33,15,16,57,33,15,20,57,33,15,23,10,6,7,1
Evan_MC_E1_cell246047,64,29,17,-1,6,20,1,73,5,14,1,3,4,14,1,5,64,29,17,-1
Evan_MC_E1_cell246052,53,21,9,-1,18,28,4,90,17,4,4,81,17,4,4,67,53,21,9,6
Evan_MC_E1_cell246231,6,14,1,24,49,10,6,2,49,10,6,2,49,6,6,1,4,14,1,4
Evan_MC_E1_cell246419,20,1,5,13,79,9,2,34,79,9,2,33,79,9,2,38,20,1,5,20
Evan_MC_E1_cell246572,31,3,7,1,73,13,8,64,73,13,8,63,73,13,8,53,10,3,7,1
Evan_MC_E1_cell246602,79,9,2,60,17,4,4,72,17,4,4,81,17,4,4,67,51,9,2,46
Evan_MC_E1_cell247053,53,30,9,9,79,9,2,34,79,9,2,33,79,9,2,38,53,21,9,6
Evan_MC_E1_cell247218,54,5,31,-1,57,33,15,16,57,33,15,20,57,33,15,23,53,5,31,-1
Evan_MC_E1_cell247238,80,27,1,-1,49,6,26,-1,49,6,26,-1,49,6,6,1,51,14,1,-1
Evan_MC_E1_cell247309,12,26,3,142,79,9,2,34,79,9,2,33,79,9,2,38,1,15,3,50
Evan_MC_E1_cell247595,73,13,8,54,79,9,2,34,79,9,2,33,79,9,2,38,73,13,8,30
Evan_MC_E1_cell247895,79,11,2,55,58,18,11,-1,58,18,11,-1,58,18,11,-1,51,9,2,46
Evan_MC_E1_cell248127,12,26,3,142,49,19,6,2,49,19,6,2,49,6,6,1,1,15,3,50
Evan_MC_E1_cell248481,79,9,2,60,54,18,11,-1,54,18,11,-1,54,18,11,-1,51,9,2,46
Evan_MC_E1_cell248725,19,28,4,108,17,28,4,-1,17,4,4,81,17,4,4,67,17,4,4,53
Evan_MC_E1_cell248830,62,8,10,15,18,24,4,90,17,4,4,81,17,4,4,67,39,8,10,52
Evan_MC_E1_cell249076,26,24,4,67,68,31,13,15,68,31,13,11,68,31,13,12,17,4,4,53
Evan_MC_E1_cell249093,73,13,8,54,54,30,9,32,54,30,9,31,54,30,9,28,73,13,8,30
Evan_MC_E1_cell249344,79,9,23,-1,79,9,2,34,79,9,2,33,79,9,2,38,51,9,2,46
Evan_MC_E1_cell249413,53,30,9,9,53,30,9,11,53,30,9,17,53,30,9,18,53,21,9,6
Evan_MC_E1_cell249856,80,34,2,-1,12,15,3,36,1,15,3,52,1,15,3,55,51,9,2,46
Evan_MC_E1_cell249882,73,13,8,54,58,16,11,5,58,16,11,6,58,16,11,4,73,13,8,30
Evan_MC_E1_cell250161,31,14,7,1,78,27,1,4,78,14,1,3,4,14,1,5,10,14,7,-1
Evan_MC_E1_cell250380,79,9,2,60,71,36,24,-1,71,36,24,-1,71,36,24,-1,51,9,2,46
Evan_MC_E1_cell251000,17,28,4,-1,54,18,11,-1,54,18,11,-1,54,18,11,-1,17,4,4,53
Evan_MC_E1_cell251271,24,17,5,85,49,35,6,2,49,14,6,2,49,14,6,1,20,1,5,20
Evan_MC_E1_cell251563,31,3,7,1,49,22,7,-1,49,22,7,-1,49,22,7,-1,10,3,7,1
Evan_MC_E1_cell251665,54,30,9,9,18,24,4,90,17,4,4,81,17,4,4,67,53,21,9,6
Evan_MC_E1_cell252069,54,18,11,-1,75,25,16,-1,75,25,16,-1,75,25,16,-1,53,16,11,14
Evan_MC_E1_cell252115,17,24,4,67,79,9,2,34,79,9,2,33,79,9,2,38,17,4,4,53
Evan_MC_E1_cell252413,57,33,15,18,63,22,14,-1,63,22,14,-1,63,22,14,-1,57,33,15,13
Evan_MC_E1_cell252507,4,23,30,-1,79,9,2,34,79,9,2,33,79,9,2,38,4,23,30,-1
Evan_MC_E1_cell252585,62,8,10,15,14,20,1,-1,14,14,1,3,4,14,1,5,39,8,10,52
Evan_MC_E1_cell252623,26,24,4,67,26,24,4,-1,17,4,4,81,17,4,4,67,17,4,4,53
Evan_MC_E1_cell252879,40,8,10,15,68,31,13,15,68,31,13,11,68,31,13,12,39,8,10,52
Evan_MC_E1_cell253073,69,29,17,-1,78,27,1,4,78,14,1,3,4,14,1,5,50,29,17,-1
Evan_MC_E1_cell253308,12,15,3,142,79,9,2,34,79,9,2,33,79,9,2,38,1,15,3,50
Evan_MC_E1_cell253460,59,33,7,-1,75,13,8,64,75,13,8,63,75,13,8,53,21,33,7,-1
Evan_MC_E1_cell253512,4,1,11,-1,68,31,13,15,68,31,13,11,68,31,13,12,4,1,11,-1
Evan_MC_E1_cell253650,64,29,17,-1,27,1,5,-1,27,1,5,-1,27,1,5,-1,64,29,17,-1
Evan_MC_E1_cell253793,19,24,4,108,12,15,3,36,1,15,3,52,1,15,3,55,17,4,4,53
Evan_MC_E1_cell253831,20,1,5,13,62,19,10,-1,62,19,10,-1,39,6,10,-1,20,1,5,20
Evan_MC_E1_cell253968,79,9,2,60,52,7,23,-1,52,7,23,-1,52,7,2,-1,51,9,2,46
Evan_MC_E1_cell254095,15,2,27,-1,7,1,18,-1,7,1,18,-1,7,1,18,-1,15,2,27,-1
Evan_MC_E1_cell254169,31,3,7,1,57,33,15,16,57,33,15,20,57,33,15,23,10,3,7,1
Evan_MC_E1_cell255083,20,1,5,13,21,16,11,5,21,16,11,6,21,16,11,4,20,1,5,20
Evan_MC_E1_cell255180,20,1,5,13,30,17,5,9,30,17,5,9,30,17,5,10,20,1,5,20
Evan_MC_E1_cell255233,26,28,4,-1,17,28,4,-1,17,4,4,81,17,4,4,67,17,4,4,53
Evan_MC_E1_cell255286,49,3,7,14,73,13,8,64,73,13,8,63,73,13,8,53,16,3,7,19
Evan_MC_E1_cell255386,52,7,14,52,54,21,18,-1,54,21,18,-1,54,21,18,-1,52,7,14,40
Evan_MC_E1_cell255476,53,21,9,-1,20,1,5,105,20,1,5,98,20,1,5,87,53,21,9,6
Evan_MC_E1_cell255599,43,3,7,-1,78,9,2,-1,78,9,2,-1,4,9,2,-1,10,3,7,1
Evan_MC_E1_cell255695,12,26,3,142,12,15,3,36,1,15,3,52,1,15,3,55,1,15,3,50
Evan_MC_E1_cell255763,58,16,11,4,49,19,6,2,49,19,6,2,49,6,6,1,21,16,11,14
Evan_MC_E1_cell255942,78,27,1,27,33,27,5,-1,33,14,5,-1,33,14,5,-1,4,14,1,4
Evan_MC_E1_cell256087,78,27,1,27,14,23,30,-1,14,23,30,-1,4,23,30,-1,4,14,1,4
Evan_MC_E1_cell256144,31,3,7,1,63,22,12,17,63,22,12,18,63,22,12,19,10,3,7,1
Evan_MC_E1_cell256503,53,30,9,9,24,27,1,4,24,14,1,3,24,14,1,5,53,21,9,6
Evan_MC_E1_cell256667,79,9,2,60,24,17,5,9,24,17,5,9,24,17,5,10,51,9,2,46
Evan_MC_E1_cell256779,57,30,14,-1,17,2,27,-1,17,2,27,-1,17,2,27,-1,57,21,14,-1
Evan_MC_E1_cell256802,49,34,6,2,17,4,4,72,17,4,4,81,17,4,4,67,16,9,6,-1
Evan_MC_E1_cell256807,63,22,12,20,53,8,6,-1,53,8,6,-1,53,8,6,-1,63,22,12,17
Evan_MC_E1_cell256942,78,27,1,27,31,17,5,9,31,17,5,9,31,17,5,10,4,14,1,4
Evan_MC_E1_cell257089,63,22,12,20,63,22,12,17,63,22,12,18,63,22,12,19,63,22,12,17
Evan_MC_E1_cell257159,75,25,16,-1,71,32,19,-1,71,32,19,-1,71,32,19,-1,75,25,16,-1
Evan_MC_E1_cell257289,68,31,13,19,68,31,13,15,68,31,13,11,68,31,13,12,68,31,13,11
Evan_MC_E1_cell257318,63,22,12,20,65,12,20,-1,65,12,20,-1,65,12,20,-1,63,22,12,17
Evan_MC_E1_cell257323,4,27,1,-1,24,17,5,9,24,17,5,9,24,17,5,10,4,14,1,4
Evan_MC_E1_cell257343,24,28,4,-1,6,14,1,73,5,14,1,3,4,14,1,5,20,4,4,53
Evan_MC_E1_cell257636,79,11,2,55,73,13,8,64,73,13,8,63,73,13,8,53,51,9,2,46
Evan_MC_E1_cell257722,79,34,2,60,79,9,2,34,79,9,2,33,79,9,2,38,51,9,2,46
Evan_MC_E1_cell257761,79,9,2,60,24,17,5,9,24,17,5,9,24,17,5,10,51,9,2,46
Evan_MC_E1_cell257846,58,30,18,-1,12,15,3,36,1,15,3,52,1,15,3,55,21,21,18,-1
Evan_MC_E1_cell258041,54,30,9,9,49,7,14,52,49,7,14,51,49,7,14,47,53,21,9,6
Evan_MC_E1_cell258061,63,22,12,20,5,20,1,57,5,14,1,3,4,14,1,5,63,22,12,17
Evan_MC_E1_cell258072,22,2,27,-1,18,24,4,90,17,4,4,81,17,4,4,67,15,2,27,-1
Evan_MC_E1_cell258144,58,16,11,4,53,5,31,-1,53,5,31,-1,53,5,31,-1,21,16,11,14
Evan_MC_E1_cell258200,78,31,13,19,12,15,3,36,1,15,3,52,1,15,3,55,4,31,13,11
Evan_MC_E1_cell259235,53,3,7,-1,12,15,3,36,1,15,3,52,1,15,3,55,53,3,7,-1
Evan_MC_E1_cell259338,74,36,28,-1,68,31,13,15,68,31,13,11,68,31,13,12,72,36,21,-1
Evan_MC_E1_cell259558,70,32,22,-1,15,2,27,-1,15,2,27,-1,15,2,27,-1,68,32,22,-1
Evan_MC_E1_cell259710,79,11,2,55,73,13,8,64,73,13,8,63,73,13,8,53,51,9,2,46
Evan_MC_E1_cell259717,69,32,19,-1,52,7,14,52,52,7,14,51,52,7,14,47,50,32,19,-1
Evan_MC_E1_cell259989,24,17,5,85,62,8,10,12,62,8,10,7,39,8,10,13,20,1,5,20
Evan_MC_E1_cell260035,25,17,5,-1,20,21,9,-1,20,21,9,-1,20,21,9,-1,20,1,5,20
Evan_MC_E1_cell260152,12,26,3,142,49,8,10,12,49,8,10,7,49,8,10,13,1,15,3,50
Evan_MC_E1_cell260739,6,20,1,16,12,15,3,36,1,15,3,52,1,15,3,55,4,14,1,4
Evan_MC_E1_cell261323,8,27,1,-1,75,25,16,-1,75,25,16,-1,75,25,16,-1,4,14,1,4
Evan_MC_E1_cell261464,79,9,2,60,73,3,21,-1,73,3,21,-1,73,3,21,-1,51,9,2,46
Evan_MC_E1_cell261482,63,31,13,19,18,24,4,90,17,4,4,81,17,4,4,67,63,31,13,11
Evan_MC_E1_cell261538,79,34,2,60,61,29,17,-1,61,29,17,-1,61,29,17,-1,51,9,2,46
Evan_MC_E1_cell261625,24,17,5,85,65,8,10,12,65,8,10,7,65,8,10,13,20,1,5,20
Evan_MC_E1_cell261732,7,22,18,-1,17,4,4,72,17,4,4,81,17,4,4,67,7,22,18,-1
Evan_MC_E1_cell261801,53,30,9,9,54,30,9,32,54,30,9,31,54,30,9,28,53,21,9,6
Evan_MC_E1_cell261855,12,15,3,142,49,19,6,2,49,19,6,2,49,6,6,1,1,15,3,50
Evan_MC_E1_cell262093,79,9,2,60,79,9,2,34,79,9,2,33,79,9,2,38,51,9,2,46
Evan_MC_E1_cell262136,25,24,4,67,75,25,16,-1,75,25,16,-1,75,25,16,-1,20,4,4,53
Evan_MC_E1_cell262448,27,1,5,13,24,17,5,9,24,17,5,9,24,17,5,10,20,1,5,20
Evan_MC_E1_cell262449,78,27,1,27,78,27,1,4,78,14,1,3,4,14,1,5,4,14,1,4
Evan_MC_E1_cell262457,19,28,4,108,19,28,4,107,17,4,4,81,17,4,4,67,17,4,4,53
Evan_MC_E1_cell262507,49,10,6,2,49,8,6,2,49,8,6,2,49,8,6,1,16,6,6,45
Evan_MC_E1_cell262729,5,35,1,10,12,15,3,36,1,15,3,52,1,15,3,55,4,14,1,4
Evan_MC_E1_cell262778,25,16,11,4,63,22,12,17,63,22,12,18,63,22,12,19,20,16,11,14
Evan_MC_E1_cell262873,78,27,1,27,53,30,9,11,53,30,9,17,53,30,9,18,4,14,1,4
Evan_MC_E1_cell263034,49,32,22,-1,25,1,5,-1,25,1,5,-1,25,1,5,-1,16,32,22,-1
Evan_MC_E1_cell263210,20,1,5,13,75,25,16,-1,75,25,16,-1,75,25,16,-1,20,1,5,20
Evan_MC_E1_cell263222,73,13,8,54,73,13,8,64,73,13,8,63,73,13,8,53,73,13,8,30
Evan_MC_E1_cell263383,21,16,11,4,49,19,6,2,49,19,6,2,49,6,6,1,21,16,11,14
Evan_MC_E1_cell263535,63,22,12,20,69,32,19,-1,69,32,19,-1,69,32,19,-1,63,22,12,17
Evan_MC_E1_cell263545,78,27,1,27,24,17,5,9,24,17,5,9,24,17,5,10,4,14,1,4
Evan_MC_E1_cell264152,31,3,7,1,54,30,9,32,54,30,9,31,54,30,9,28,10,3,7,1
Evan_MC_E1_cell264159,78,27,1,27,74,36,21,-1,74,36,21,-1,74,36,21,-1,4,14,1,4
Evan_MC_E1_cell264665,6,35,1,10,4,27,1,4,4,14,1,3,4,14,1,5,4,14,1,4
Evan_MC_E1_cell264882,53,19,6,-1,63,22,12,17,63,22,12,18,63,22,12,19,53,6,6,45
Evan_MC_E1_cell264989,24,17,5,85,24,17,5,9,24,17,5,9,24,17,5,10,20,1,5,20
Evan_MC_E1_cell265536,6,20,1,16,17,2,4,-1,17,2,4,81,17,2,4,67,4,14,1,4
Evan_MC_E1_cell265557,73,13,8,54,19,4,4,107,17,4,4,81,17,4,4,67,73,13,8,30
Evan_MC_E1_cell265944,4,35,1,10,49,8,10,12,49,8,10,7,49,8,10,13,4,14,1,4
Evan_MC_E1_cell266291,58,18,11,-1,12,15,3,36,1,15,3,52,1,15,3,55,21,16,11,14
Evan_MC_E1_cell266412,73,13,8,54,19,4,4,107,17,4,4,81,17,4,4,67,73,13,8,30
Evan_MC_E1_cell266437,12,26,3,142,52,7,14,52,52,7,14,51,52,7,14,47,1,15,3,50
Evan_MC_E1_cell266519,37,24,7,-1,12,15,3,36,1,15,3,52,1,15,3,55,10,4,7,1
Evan_MC_E1_cell266594,65,8,10,15,25,1,5,-1,25,1,5,-1,25,1,5,-1,65,8,10,-1
Evan_MC_E1_cell266747,65,8,10,15,6,20,1,73,5,14,1,3,4,14,1,5,65,8,10,-1
Evan_MC_E1_cell267438,73,13,8,54,12,15,3,36,1,15,3,52,1,15,3,55,73,13,8,30
Evan_MC_E1_cell267439,68,12,20,-1,53,30,9,11,53,30,9,17,53,30,9,18,68,12,20,-1
Evan_MC_E1_cell267516,69,32,19,-1,78,27,1,4,78,14,1,3,4,14,1,5,50,32,19,-1
Evan_MC_E1_cell267620,54,18,11,-1,79,9,2,34,79,9,2,33,79,9,2,38,53,16,11,14
