"","cells","sc3.Initial","Monocle.Initial","Seurat.Initial","sc3.33","Monocle.33","Seurat.33","sc3.66","Monocle.66","Seurat.66","sc3.90","Monocle.90","Seurat.90","sc3.Final","Monocle.Final","Seurat.Final"
"5127","SM-GE66P_S068_E1-50",23,2,10,23,2,10,23,2,10,23,2,10,23,2,10
"5128","SM-GE66P_S069_E1-50",20,1,13,20,1,13,20,1,13,20,1,11,20,1,11
"5129","SM-GE66P_S070_E1-50",12,21,3,12,21,3,11,21,3,11,21,3,11,21,3
"5130","SM-GE66P_S071_E1-50",16,15,5,16,15,5,16,15,5,16,15,5,16,3,5
"5131","SM-GE66P_S072_E1-50",33,9,18,33,9,18,33,9,18,33,9,18,18,4,9
"5132","SM-GE66P_S073_E1-50",16,28,5,16,28,5,16,15,5,16,15,5,16,3,5
"5133","SM-GE66P_S074_E1-50",21,1,11,21,1,11,21,1,11,20,1,11,20,1,11
"5134","SM-GE66P_S075_E1-50",12,24,3,12,24,3,11,7,3,11,7,3,11,7,3
"5135","SM-GE66P_S076_E1-50",17,1,5,17,1,5,17,1,5,16,1,5,16,1,5
"5136","SM-GE66P_S077_E1-50",18,4,9,18,4,9,18,4,9,18,4,9,18,4,9
"5137","SM-GE66P_S078_E1-50",25,26,8,25,26,8,25,26,8,25,26,8,3,13,8
"5138","SM-GE66P_S079_E1-50",12,10,3,12,10,3,11,7,3,11,7,3,11,7,3
"5139","SM-GE66P_S080_E1-50",12,24,3,12,24,3,11,7,3,11,7,3,11,7,3
"5140","SM-GE66P_S097_E1-50",10,8,1,8,8,1,8,8,1,8,8,1,8,8,1
"5141","SM-GE66P_S098_E1-50",11,7,7,11,7,7,11,7,7,11,7,7,11,7,7
"5142","SM-GE66P_S099_E1-50",1,22,4,1,22,4,1,22,4,1,22,4,1,22,4
"5143","SM-GE66P_S100_E1-50",6,33,2,6,33,2,6,31,2,6,31,2,6,31,2
"5144","SM-GE66P_S101_E1-50",2,25,4,2,25,4,2,22,4,1,22,4,1,22,4
"5145","SM-GE66P_S102_E1-50",23,2,10,23,2,10,23,2,10,23,2,10,23,2,10
"5146","SM-GE66P_S103_E1-50",25,26,8,25,26,8,25,26,8,25,26,8,3,13,8
"5147","SM-GE66P_S104_E1-50",1,25,4,1,25,4,1,22,4,1,22,4,1,22,4
"5148","SM-GE66P_S105_E1-50",6,33,2,6,33,2,6,31,2,6,31,2,6,31,2
"5149","SM-GE66P_S106_E1-50",12,10,3,12,10,3,11,7,3,11,7,3,11,7,3
"5150","SM-GE66P_S107_E1-50",8,16,1,8,8,1,8,8,1,8,8,1,8,8,1
"5151","SM-GE66P_S108_E1-50",10,8,1,8,8,1,8,8,1,8,8,1,8,8,1
"5152","SM-GE66P_S109_E1-50",12,7,3,12,7,3,11,7,3,11,7,3,11,7,3
"5153","SM-GE66P_S110_E1-50",1,25,4,1,25,4,1,22,4,1,22,4,1,22,4
"5154","SM-GE66P_S111_E1-50",6,33,2,6,33,2,6,31,2,6,31,2,6,31,2
"5155","SM-GE66P_S112_E1-50",12,7,3,12,7,3,11,7,3,11,7,3,11,7,3
"5156","SM-GE66P_S121_E1-50",7,33,2,7,33,2,6,31,2,6,31,2,6,31,2
"5157","SM-GE66P_S122_E1-50",32,32,12,32,32,12,32,32,12,32,32,12,32,32,12
"5158","SM-GE66P_S123_E1-50",37,12,7,37,12,7,37,12,7,36,12,7,36,12,7
"5159","SM-GE66P_S124_E1-50",8,16,1,8,8,1,8,8,1,8,8,1,8,8,1
"5160","SM-GE66P_S125_E1-50",27,26,8,27,26,8,27,26,8,27,26,8,3,13,8
"5161","SM-GE66P_S126_E1-50",14,21,17,14,21,17,14,21,17,14,21,17,14,21,17
"5162","SM-GE66P_S127_E1-50",16,15,5,16,15,5,16,15,5,16,15,5,16,3,5
"5163","SM-GE66P_S128_E1-50",37,11,7,37,11,7,37,11,7,36,11,7,36,11,7
"5164","SM-GE66P_S130_E1-50",12,21,3,12,21,3,11,21,3,11,21,3,11,21,3
"5165","SM-GE66P_S131_E1-50",16,28,5,16,28,5,16,15,5,16,15,5,16,3,5
"5166","SM-GE66P_S132_E1-50",23,2,10,23,2,10,23,2,10,23,2,10,23,2,10
"5167","SM-GE66P_S133_E1-50",8,12,1,8,12,1,8,12,1,8,12,1,8,12,1
"5168","SM-GE66P_S134_E1-50",19,4,9,19,4,9,18,4,9,18,4,9,18,4,9
"5169","SM-GE66P_S135_E1-50",12,24,3,12,24,3,11,7,3,11,7,3,11,7,3
"5170","SM-GE66P_S137_E1-50",18,23,9,18,23,9,18,23,9,18,4,9,18,4,9
"5171","SM-GE66P_S138_E1-50",20,1,13,20,1,13,20,1,13,20,1,11,20,1,11
"5172","SM-GE66P_S139_E1-50",20,1,13,20,1,13,20,1,13,20,1,11,20,1,11
"5173","SM-GE66P_S140_E1-50",23,9,10,23,9,10,23,9,10,23,9,10,23,4,10
"5174","SM-GE66P_S141_E1-50",20,1,13,20,1,13,20,1,13,20,1,11,20,1,11
"5175","SM-GE66P_S142_E1-50",18,4,9,18,4,9,18,4,9,18,4,9,18,4,9
"5176","SM-GE66P_S143_E1-50",18,23,9,18,23,9,18,23,9,18,4,9,18,4,9
"5177","SM-GE66P_S144_E1-50",18,23,9,18,23,9,18,23,9,18,4,9,18,4,9
"5178","SM-GE66P_S145_E1-50",18,4,9,18,4,9,18,4,9,18,4,9,18,4,9
"5179","SM-GE66P_S146_E1-50",16,15,5,16,15,5,16,15,5,16,15,5,16,3,5
"5180","SM-GE66P_S148_E1-50",16,15,5,16,15,5,16,15,5,16,15,5,16,3,5
"5181","SM-GE66P_S149_E1-50",28,3,13,28,3,13,28,3,13,28,3,11,28,3,11
"5182","SM-GE66P_S150_E1-50",18,23,9,18,23,9,18,23,9,18,4,9,18,4,9
"5183","SM-GE66P_S151_E1-50",13,26,8,13,26,8,13,26,8,13,26,8,11,13,8
"5184","SM-GE66P_S152_E1-50",33,9,18,33,9,18,33,9,18,33,9,18,18,4,9
"5185","SM-GE66P_S153_E1-50",10,8,1,8,8,1,8,8,1,8,8,1,8,8,1
"5186","SM-GE66P_S154_E1-50",12,10,3,12,10,3,11,7,3,11,7,3,11,7,3
"5187","SM-GE66P_S155_E1-50",8,29,1,8,8,1,8,8,1,8,8,1,8,8,1
"5188","SM-GE66P_S156_E1-50",8,16,1,8,8,1,8,8,1,8,8,1,8,8,1
"5189","SM-GE66P_S157_E1-50",8,8,1,8,8,1,8,8,1,8,8,1,8,8,1
"5190","SM-GE66P_S158_E1-50",40,12,8,40,12,8,40,12,8,38,12,8,38,12,8
"5191","SM-GE66P_S159_E1-50",36,18,6,36,18,6,36,18,6,36,11,6,36,11,6
"5192","SM-GE66P_S160_E1-50",14,7,17,14,7,17,14,7,17,14,7,17,14,7,17
"5193","SM-GE66P_S162_E1-50",8,16,1,8,8,1,8,8,1,8,8,1,8,8,1
"5194","SM-GE66P_S163_E1-50",12,10,3,12,10,3,11,7,3,11,7,3,11,7,3
"5195","SM-GE66P_S164_E1-50",14,17,17,14,17,17,14,17,17,14,17,17,14,17,17
"5196","SM-GE66P_S165_E1-50",37,17,7,37,17,7,37,17,7,36,17,7,36,17,7
"5197","SM-GE66P_S166_E1-50",37,17,7,37,17,7,37,17,7,36,17,7,36,17,7
"5198","SM-GE66P_S167_E1-50",37,17,7,37,17,7,37,17,7,36,17,7,36,17,7
"5199","SM-GE66P_S168_E1-50",14,21,17,14,21,17,14,21,17,14,21,17,14,21,17
"5200","SM-GE66P_S169_E1-50",8,16,1,8,8,1,8,8,1,8,8,1,8,8,1
"5201","SM-GE66P_S170_E1-50",39,18,6,39,18,6,39,18,6,39,11,6,38,11,6
"5202","SM-GE66P_S171_E1-50",37,17,7,37,17,7,37,17,7,36,17,7,36,17,7
"5203","SM-GE66P_S172_E1-50",22,14,14,22,14,14,22,14,14,22,14,14,22,14,14
"5204","SM-GE66P_S173_E1-50",25,26,8,25,26,8,25,26,8,25,26,8,3,13,8
"5205","SM-GE66P_S174_E1-50",14,21,17,14,21,17,14,21,17,14,21,17,14,21,17
"5206","SM-GE66P_S175_E1-50",14,21,17,14,21,17,14,21,17,14,21,17,14,21,17
"5207","SM-GE66P_S177_E1-50",40,18,6,40,18,6,40,18,6,38,11,6,38,11,6
"5208","SM-GE66P_S178_E1-50",38,11,6,38,11,6,38,11,6,38,11,6,38,11,6
"5209","SM-GE66P_S179_E1-50",11,7,3,11,7,3,11,7,3,11,7,3,11,7,3
"5210","SM-GE66P_S180_E1-50",37,17,7,37,17,7,37,17,7,36,17,7,36,17,7
"5211","SM-GE66P_S181_E1-50",11,7,3,11,7,3,11,7,3,11,7,3,11,7,3
"5212","SM-GE66P_S182_E1-50",12,7,3,12,7,3,11,7,3,11,7,3,11,7,3
"5213","SM-GE66P_S183_E1-50",40,18,6,40,18,6,40,18,6,38,11,6,38,11,6
"5214","SM-GE66P_S184_E1-50",7,22,4,7,22,4,6,22,4,6,22,4,6,22,4
"5215","SM-GE66P_S185_E1-50",4,27,4,4,27,4,4,27,4,4,27,4,4,13,4
"5216","SM-GE66P_S186_E1-50",37,17,7,37,17,7,37,17,7,36,17,7,36,17,7
"5217","SM-GE66P_S187_E1-50",36,17,7,36,17,7,36,17,7,36,17,7,36,17,7
