cells,sc3-Initial,Monocle-Initial,Seurat-Initial,sc3-33,Monocle-33,Seurat-33,sc3-66,Monocle-66,Seurat-66,sc3-90,Monocle-90,Seurat-90,sc3-Final,Monocle-Final,Seurat-Final
4103,42,31,12,42,31,12,42,31,12,31,31,12,31,31,12
4104,42,31,12,42,31,12,42,31,12,31,31,12,31,31,12
4105,42,36,12,42,36,12,42,36,12,31,31,12,31,31,12
4106,42,36,12,42,36,12,42,36,12,31,31,12,31,31,12
4107,42,40,12,42,40,12,42,40,12,31,31,12,31,31,12
4108,39,23,22,39,23,22,39,23,22,39,23,22,39,23,22
4109,42,31,12,42,31,12,42,31,12,31,31,12,31,31,12
4110,42,36,12,42,36,12,42,36,12,31,31,12,31,31,12
4111,31,40,12,31,40,12,31,40,12,31,31,12,31,31,12
4112,40,28,30,40,28,30,40,28,30,40,28,30,40,28,30
4113,6,22,2,6,22,2,6,20,2,6,16,2,6,16,2
4114,26,21,8,26,21,8,26,21,8,26,21,8,26,21,8
4115,6,22,2,6,22,2,6,20,2,6,16,2,6,16,2
4116,6,22,2,6,22,2,6,20,2,6,16,2,6,16,2
4117,6,22,2,6,22,2,6,20,2,6,16,2,6,16,2
4118,6,20,14,6,20,14,6,20,14,6,16,2,6,16,2
4119,26,18,15,26,18,15,26,18,15,26,18,15,26,18,15
4120,22,21,8,22,21,8,22,21,8,22,21,8,15,21,8
4121,7,16,2,7,16,2,7,16,2,6,16,2,6,16,2
4122,6,22,2,6,22,2,6,20,2,6,16,2,6,16,2
4123,6,21,8,6,21,8,6,21,8,6,21,8,6,21,8
4124,6,20,14,6,20,14,6,20,14,6,16,2,6,16,2
4125,22,21,8,22,21,8,22,21,8,22,21,8,15,21,8
4126,6,22,2,6,22,2,6,20,2,6,16,2,6,16,2
4127,6,20,14,6,20,14,6,20,14,6,16,2,6,16,2
4128,6,21,14,6,21,14,6,21,14,6,21,2,6,21,2
4129,26,21,8,26,21,8,26,21,8,26,21,8,26,21,8
4130,6,22,2,6,22,2,6,20,2,6,16,2,6,16,2
4131,26,18,15,26,18,15,26,18,15,26,18,15,26,18,15
4132,7,22,8,7,22,8,7,20,8,6,16,8,6,16,8
4133,22,21,14,22,21,14,22,21,14,22,21,2,15,21,2
4134,6,22,2,6,22,2,6,20,2,6,16,2,6,16,2
4135,26,21,14,26,21,14,26,21,14,26,21,2,26,21,2
4136,6,20,14,6,20,14,6,20,14,6,16,2,6,16,2
4137,42,36,12,42,36,12,42,36,12,31,31,12,31,31,12
4138,42,36,12,42,36,12,42,36,12,31,31,12,31,31,12
4139,42,31,12,42,31,12,42,31,12,31,31,12,31,31,12
4140,42,36,12,42,36,12,42,36,12,31,31,12,31,31,12
4141,42,36,12,42,36,12,42,36,12,31,31,12,31,31,12
4142,42,31,12,42,31,12,42,31,12,31,31,12,31,31,12
4143,42,36,12,42,36,12,42,36,12,31,31,12,31,31,12
4144,41,37,17,41,37,17,41,32,17,41,32,17,41,32,17
4145,34,34,13,34,34,13,34,34,13,34,34,13,34,34,13
