"","k_10","k_15","k_20","k_25","k_30","k_35","k_40","k_45","k_50","k_55","k_60","k_65","k_70","k_75","k_80","k_85","k_90","k_95","k_100","k_105","k_110","k_115","k_120","k_125","k_130","k_135","k_140","k_145","k_150","cells"
"13326",10,3,39,1,25,10,7,3,1,10,13,11,4,4,9,11,11,6,4,10,7,13,7,6,12,7,12,12,6,"Evan_MC_D1_cell140880"
"13327",37,11,23,28,28,31,15,29,19,21,4,2,16,16,12,7,25,18,16,2,10,12,13,13,8,21,18,10,7,"Evan_MC_D1_cell141017"
"13328",55,44,22,20,2,25,35,17,10,8,25,27,26,8,23,29,30,11,10,5,15,18,14,15,13,9,24,19,20,"Evan_MC_D1_cell141106"
"13329",43,31,36,29,18,35,4,28,28,23,21,12,5,27,7,16,14,1,21,22,4,27,20,12,6,13,25,8,18,"Evan_MC_D1_cell141234"
"13330",3,8,10,4,39,9,20,3,9,10,5,15,4,4,9,6,11,5,6,17,12,7,10,21,12,22,9,11,23,"Evan_MC_D1_cell141241"
"13331",10,3,39,34,25,10,7,3,1,25,13,11,4,4,9,11,11,6,9,10,7,13,7,6,18,7,12,12,6,"Evan_MC_D1_cell141255"
"13332",8,3,38,4,39,12,20,3,9,25,13,11,11,5,8,27,26,9,6,17,7,13,7,21,18,7,9,12,4,"Evan_MC_D1_cell141375"
"13333",7,48,30,40,19,1,32,26,13,31,23,16,28,7,15,19,15,19,1,19,18,28,15,25,25,16,22,26,25,"Evan_MC_D1_cell141441"
"13334",47,20,32,9,6,7,31,14,31,28,32,30,27,9,5,1,16,29,26,28,9,8,24,26,9,14,26,16,26,"Evan_MC_D1_cell141676"
"13335",2,24,3,34,10,3,1,10,6,25,13,8,11,5,8,11,26,9,9,10,7,13,7,6,18,7,12,12,4,"Evan_MC_D1_cell141681"
"13336",6,17,45,5,34,36,5,13,27,14,31,22,24,24,24,26,19,22,29,11,2,14,11,8,10,8,14,15,9,"Evan_MC_D1_cell141975"
"13337",38,36,29,19,20,15,19,25,21,32,20,9,17,29,32,31,23,24,27,21,24,24,21,2,14,11,16,18,15,"Evan_MC_D1_cell142149"
"13338",62,43,5,33,13,39,34,31,24,11,16,29,10,2,2,13,12,20,17,24,22,21,12,14,17,15,19,14,10,"Evan_MC_D1_cell142333"
"13339",15,4,39,1,25,9,7,3,1,10,1,11,4,4,9,11,11,6,4,8,7,13,7,6,12,7,10,12,6,"Evan_MC_D1_cell142725"
