"","k_10","k_15","k_20","k_25","k_30","k_35","k_40","k_45","k_50","k_55","k_60","k_65","k_70","k_75","k_80","k_85","k_90","k_95","k_100","k_105","k_110","k_115","k_120","k_125","k_130","k_135","k_140","k_145","k_150","cells"
"4799",28,25,8,36,36,23,16,9,22,22,24,3,6,14,18,15,22,12,24,20,27,25,9,22,20,19,11,9,8,"Evan_MC_B1_cell132403"
"4800",44,38,6,22,11,32,18,32,25,13,17,26,23,11,22,25,7,15,11,12,3,2,3,1,2,3,3,2,1,"Evan_MC_B1_cell132431"
"4801",8,29,3,34,33,3,1,19,6,3,2,8,11,5,8,27,26,9,6,10,12,7,10,21,18,22,12,11,4,"Evan_MC_B1_cell132558"
"4802",36,19,37,42,22,26,6,8,32,4,28,7,9,3,31,3,2,26,12,23,28,17,25,24,3,2,2,24,14,"Evan_MC_B1_cell132630"
"4803",14,21,13,42,22,26,6,8,32,4,28,7,9,3,31,3,2,26,12,23,28,17,25,24,3,2,2,24,23,"Evan_MC_B1_cell132959"
"4804",12,2,7,18,9,6,3,2,2,1,3,1,18,17,27,14,6,2,5,4,5,4,5,4,5,5,6,5,2,"Evan_MC_B1_cell133185"
"4805",43,31,36,29,18,35,4,28,28,23,21,12,5,27,7,16,14,1,21,22,4,27,20,12,6,13,25,8,18,"Evan_MC_B1_cell133219"
"4806",18,46,40,25,5,18,27,33,7,16,19,19,21,19,13,5,5,7,22,29,20,9,2,9,4,4,5,4,3,"Evan_MC_B1_cell133371"
"4807",1,29,3,34,10,3,1,10,6,25,13,8,11,5,8,27,26,9,6,10,12,7,10,21,18,22,12,11,4,"Evan_MC_B1_cell133574"
"4808",40,18,24,35,27,22,24,20,16,29,27,23,22,1,28,1,17,29,26,28,9,8,24,26,9,14,26,16,26,"Evan_MC_B1_cell133660"
"4809",46,6,47,38,30,24,9,7,3,20,6,28,2,18,6,12,3,4,8,25,25,3,4,3,7,6,27,6,11,"Evan_MC_B1_cell134374"
"4810",48,14,42,16,24,5,21,36,33,33,34,32,30,30,30,30,4,31,28,7,29,26,26,16,11,23,8,25,5,"Evan_MC_B1_cell134397"
"4811",46,6,47,38,30,24,9,7,3,20,6,28,2,18,6,12,3,4,8,25,25,3,4,3,7,6,27,6,11,"Evan_MC_B1_cell134557"
"4812",35,45,16,8,40,4,12,12,4,6,7,14,25,28,26,24,28,14,14,14,21,19,18,18,22,10,15,17,13,"Evan_MC_B1_cell134771"
"4813",47,20,32,32,17,7,10,35,16,29,32,23,22,9,28,1,17,29,26,28,9,8,24,26,9,14,26,16,26,"Evan_MC_B1_cell134773"
"4814",57,44,22,20,2,25,35,17,10,8,25,27,26,8,23,29,30,11,10,5,15,18,14,15,13,9,24,19,20,"Evan_MC_B1_cell134804"
"4815",28,25,8,37,36,34,16,9,20,22,24,3,6,14,29,15,29,12,24,20,27,25,9,22,20,19,11,9,8,"Evan_MC_B1_cell135484"
"4816",36,19,37,42,22,26,6,8,32,4,28,7,9,3,31,3,2,26,12,23,28,17,25,24,3,2,2,24,14,"Evan_MC_B1_cell135698"
"4817",58,43,5,33,13,39,34,31,24,11,16,29,10,2,2,13,12,20,17,24,22,21,12,14,17,15,19,14,10,"Evan_MC_B1_cell135964"
"4818",30,29,3,23,33,12,1,19,6,3,2,8,11,5,10,27,26,9,6,10,12,7,10,21,18,22,12,11,4,"Evan_MC_B1_cell136069"
"4819",2,24,3,34,10,10,7,10,1,25,13,8,11,4,8,11,26,9,9,10,7,13,7,6,18,7,12,12,4,"Evan_MC_B1_cell136148"
"4820",45,39,28,39,14,11,36,4,28,2,33,12,5,27,7,18,14,25,21,22,26,23,22,12,16,12,17,8,18,"Evan_MC_B1_cell136437"
"4821",40,18,17,35,17,22,24,20,16,29,27,23,22,1,28,1,17,29,26,28,9,8,24,26,9,14,26,16,26,"Evan_MC_B1_cell136458"
"4822",40,15,24,35,16,22,29,27,12,29,10,24,19,21,17,21,24,10,25,27,23,15,23,23,24,24,13,13,24,"Evan_MC_B1_cell136719"
"4823",55,44,22,20,2,25,35,17,10,8,25,27,26,8,23,29,30,11,10,5,15,18,14,15,13,9,24,19,20,"Evan_MC_B1_cell136738"
"4824",59,37,12,6,16,21,29,27,12,29,10,24,19,21,17,21,24,10,25,27,23,15,23,23,24,24,13,13,24,"Evan_MC_B1_cell137522"
"4825",44,38,6,22,11,32,18,32,25,13,17,26,23,11,22,25,7,15,11,12,3,2,3,1,2,3,3,2,1,"Evan_MC_B1_cell138196"
"4826",30,29,3,23,33,12,1,19,6,3,2,8,11,5,10,27,26,9,6,10,12,7,10,21,18,22,2,11,23,"Evan_MC_B1_cell138543"
"4827",9,23,34,33,13,39,34,31,24,11,16,29,10,2,2,13,12,20,17,24,22,21,12,14,17,15,19,14,10,"Evan_MC_B1_cell138935"
"4828",41,48,30,40,19,1,32,26,8,31,23,16,28,7,15,19,15,19,1,19,18,28,15,25,25,16,22,26,25,"Evan_MC_B1_cell139431"
"4829",23,26,45,31,34,36,5,13,27,14,31,22,24,24,24,26,19,22,29,11,2,14,11,8,10,8,14,15,9,"Evan_MC_B1_cell139478"
"4830",3,8,10,1,39,12,20,6,9,3,5,15,29,5,10,6,27,5,6,17,12,7,10,21,12,22,9,11,23,"Evan_MC_B1_cell139552"
"4831",60,33,19,15,12,28,22,30,29,12,15,21,31,20,16,20,20,23,19,6,8,5,17,17,21,17,23,22,19,"Evan_MC_B1_cell139708"
"4832",59,37,24,6,16,13,29,27,12,7,10,24,19,21,17,21,24,10,25,27,23,15,23,23,24,24,13,13,24,"Evan_MC_B1_cell139866"
"4833",39,52,20,26,21,34,25,11,34,19,24,3,12,26,29,9,29,30,20,20,27,25,9,22,20,19,11,9,8,"Evan_MC_B1_cell140200"
"4834",59,37,24,6,16,22,29,27,12,29,10,24,19,21,17,21,24,10,25,27,23,15,23,23,24,24,13,13,24,"Evan_MC_B1_cell140335"
"4835",14,21,13,42,22,26,6,8,32,4,28,7,9,3,31,3,2,26,12,23,28,17,25,24,3,2,2,24,23,"Evan_MC_B1_cell140435"
"4836",34,22,18,24,3,27,23,1,15,30,12,20,13,25,20,23,21,27,15,3,11,11,16,10,19,25,21,23,17,"Evan_MC_B1_cell140777"
"4837",57,41,18,24,26,25,35,17,10,30,12,27,26,8,23,29,21,11,10,5,15,18,14,15,13,9,24,19,20,"Evan_MC_B1_cell140843"
"4838",11,48,2,12,4,1,33,26,8,31,23,16,28,7,15,19,15,19,1,19,18,28,15,25,25,16,22,26,25,"Evan_MC_B1_cell141321"
"4839",43,10,9,29,18,35,4,28,28,23,21,12,5,27,7,16,14,1,21,22,4,27,20,12,6,13,25,8,18,"Evan_MC_B1_cell141404"
"4840",57,41,35,24,26,25,35,17,10,30,12,27,26,8,23,29,21,11,10,5,15,18,14,15,13,9,24,19,20,"Evan_MC_B1_cell141427"
"4841",31,50,46,41,7,38,11,24,17,15,30,17,15,22,25,4,18,28,23,26,13,22,20,20,6,13,25,20,22,"Evan_MC_B1_cell141472"
"4842",49,37,12,6,17,21,10,35,16,29,32,23,22,9,28,1,17,29,26,28,9,8,24,26,9,14,26,16,26,"Evan_MC_B1_cell141761"
"4843",60,33,19,15,12,28,22,30,29,12,15,21,31,20,16,20,20,23,19,6,8,5,17,17,21,17,23,22,19,"Evan_MC_B1_cell142084"
"4844",26,21,10,3,38,12,20,6,9,3,5,15,29,5,10,6,27,5,6,17,12,7,10,21,12,22,9,11,23,"Evan_MC_B1_cell142231"
"4845",36,19,37,42,22,26,6,8,32,4,28,7,9,3,31,3,2,26,12,23,28,17,25,24,3,2,2,24,14,"Evan_MC_B1_cell142237"
"4846",18,46,40,25,5,18,27,33,7,16,19,19,21,19,13,5,5,7,22,29,20,9,2,9,4,4,5,4,3,"Evan_MC_B1_cell142545"
"4847",45,39,28,39,14,11,36,4,14,2,33,12,5,27,7,18,14,25,21,22,26,23,22,12,16,12,17,8,18,"Evan_MC_B1_cell142614"
"4848",8,4,10,4,39,10,20,3,9,10,5,15,4,4,9,6,11,5,6,17,12,7,10,21,12,7,9,11,6,"Evan_MC_B1_cell142644"
"4849",59,37,24,6,16,13,29,27,12,7,10,24,19,21,17,21,24,10,25,27,23,15,23,23,24,24,13,13,24,"Evan_MC_B1_cell142733"
"4850",50,54,11,2,8,8,13,22,23,27,9,10,14,10,3,8,8,21,2,18,19,16,27,27,26,26,4,3,21,"Evan_MC_B1_cell143015"
"4851",59,37,12,6,16,21,29,27,12,29,10,24,19,21,17,21,24,10,25,27,23,15,23,23,24,24,13,13,24,"Evan_MC_B1_cell143309"
"4852",41,48,2,12,19,1,32,26,8,31,23,16,28,7,15,19,15,19,1,19,18,28,15,25,25,16,22,26,25,"Evan_MC_B1_cell143493"
"4853",19,10,9,29,18,35,11,24,17,23,21,17,15,22,25,16,14,1,21,22,4,27,20,12,6,13,25,8,18,"Evan_MC_B1_cell143552"
"4854",62,40,21,10,8,8,13,22,23,27,9,10,14,10,3,8,8,21,2,18,19,16,27,27,26,26,4,3,21,"Evan_MC_B1_cell143571"
"4855",30,29,3,23,33,12,1,19,6,3,2,8,11,5,10,27,26,9,6,10,12,7,10,21,18,22,12,11,4,"Evan_MC_B1_cell143615"
"4856",35,45,16,8,40,4,12,12,4,6,7,14,25,28,26,24,28,14,14,14,21,19,18,18,22,10,15,17,13,"Evan_MC_B1_cell143661"
"4857",24,35,26,21,32,30,26,16,26,9,14,13,1,23,19,22,13,17,18,16,17,10,8,11,15,20,7,7,12,"Evan_MC_B1_cell143809"
"4858",51,51,31,17,15,17,33,15,13,17,29,6,28,7,14,19,15,19,1,19,18,28,15,25,25,16,22,26,25,"Evan_MC_B1_cell143823"
"4859",57,44,35,20,2,25,35,17,10,8,25,27,26,8,23,29,30,11,10,5,15,18,14,15,13,9,24,19,20,"Evan_MC_B1_cell144024"
"4860",36,19,37,42,22,26,6,8,32,4,28,7,9,3,31,3,2,26,12,23,28,17,25,24,3,2,2,24,14,"Evan_MC_B1_cell144394"
"4861",41,48,2,12,4,1,33,26,8,31,23,16,28,7,15,19,15,19,1,19,18,28,15,25,25,16,22,26,25,"Evan_MC_B1_cell144514"
"4862",7,53,30,40,15,17,32,26,13,17,23,16,28,7,15,19,15,19,1,19,18,28,15,25,25,16,22,26,25,"Evan_MC_B1_cell144533"
"4863",36,19,37,42,22,26,6,8,32,4,28,7,9,3,31,3,2,26,12,23,28,17,25,24,3,2,2,24,14,"Evan_MC_B1_cell144738"
"4864",13,18,17,35,27,20,24,20,16,29,27,23,22,1,28,1,17,29,26,28,9,8,24,26,9,14,26,16,26,"Evan_MC_B1_cell145017"
"4865",40,15,24,7,16,22,24,27,12,29,10,24,19,21,17,21,24,10,25,27,23,15,23,23,24,24,13,13,24,"Evan_MC_B1_cell145085"
"4866",15,4,38,1,25,10,7,3,1,10,5,11,4,4,9,11,11,6,4,8,7,13,7,6,12,7,10,12,6,"Evan_MC_B1_cell145344"
"4867",64,10,9,29,18,11,36,4,17,2,33,12,5,27,7,16,14,1,21,22,4,27,20,12,6,13,25,8,18,"Evan_MC_B1_cell145459"
"4868",14,19,37,42,22,26,6,8,32,4,28,7,9,3,31,3,2,26,12,23,28,17,25,24,3,2,2,24,14,"Evan_MC_B1_cell145567"
"4869",3,8,10,4,39,12,20,6,9,3,5,15,29,5,9,6,27,5,6,17,12,7,10,21,12,22,9,11,23,"Evan_MC_B1_cell145629"
"4870",59,37,12,6,16,21,29,27,12,29,10,24,19,21,17,21,24,10,25,27,23,15,23,23,24,24,13,13,24,"Evan_MC_B1_cell146381"
"4871",25,32,15,14,23,19,8,30,11,12,11,4,8,12,1,28,9,8,7,9,6,20,19,19,23,18,20,21,16,"Evan_MC_B1_cell146482"
"4872",35,45,16,8,40,4,12,12,4,6,7,14,25,28,26,24,28,14,14,14,21,19,18,18,22,10,15,17,13,"Evan_MC_B1_cell146513"
"4873",34,22,18,24,3,27,23,1,15,30,12,20,13,25,20,23,21,27,15,3,11,11,16,10,19,25,21,23,17,"Evan_MC_B1_cell146648"
"4874",46,6,47,38,30,24,9,7,3,20,6,28,2,18,6,12,3,4,8,25,25,3,4,3,7,6,27,6,11,"Evan_MC_B1_cell146733"
"4875",31,50,46,41,7,38,11,24,17,15,30,17,15,22,25,4,18,28,23,26,13,22,20,20,6,13,25,20,22,"Evan_MC_B1_cell146875"
"4876",57,41,35,24,26,25,35,17,10,30,12,27,26,8,23,29,21,11,10,5,15,18,14,15,13,9,24,19,20,"Evan_MC_B1_cell146924"
"4877",47,20,32,9,6,7,31,14,31,28,32,30,27,9,5,1,16,29,26,28,9,8,24,26,9,14,26,16,26,"Evan_MC_B1_cell146964"
"4878",48,14,42,16,24,5,21,36,33,33,34,32,30,30,30,30,4,31,28,7,29,26,26,16,11,23,8,25,5,"Evan_MC_B1_cell147205"
"4879",24,35,26,21,32,30,26,16,26,9,14,13,1,23,19,22,13,17,18,16,17,10,8,11,15,20,7,7,12,"Evan_MC_B1_cell147391"
"4880",21,25,43,36,36,37,16,34,22,22,22,31,6,14,18,15,22,12,24,20,27,25,9,22,20,19,11,9,8,"Evan_MC_B1_cell147409"
"4881",59,37,24,6,16,13,29,27,12,7,10,24,19,21,17,21,24,10,25,27,23,15,23,23,24,24,13,13,24,"Evan_MC_B1_cell147464"
"4882",29,12,48,11,31,33,28,23,18,26,18,18,20,15,11,10,10,13,13,13,14,1,6,5,1,1,1,1,14,"Evan_MC_B1_cell147482"
"4883",3,8,10,1,39,26,20,6,9,3,5,15,29,5,10,6,27,5,6,17,12,7,10,21,12,22,9,11,23,"Evan_MC_B1_cell147490"
"4884",60,33,19,15,12,28,22,30,29,12,15,21,31,20,16,20,20,23,19,6,8,5,17,17,21,17,23,22,19,"Evan_MC_B1_cell147575"
"4885",15,4,39,1,25,9,7,3,1,10,1,11,4,4,9,11,11,6,4,8,7,13,7,6,12,7,10,12,6,"Evan_MC_B1_cell147629"
"4886",8,3,38,4,39,12,20,19,9,25,13,15,11,5,9,27,26,9,6,17,12,7,10,21,18,22,9,11,23,"Evan_MC_B1_cell147825"
"4887",49,18,17,35,17,22,24,20,16,29,27,23,22,1,28,1,17,29,26,28,9,8,24,26,9,14,26,16,26,"Evan_MC_B1_cell148210"
"4888",46,6,47,38,30,24,9,7,3,20,6,28,2,18,6,12,3,4,8,25,25,3,4,3,7,6,27,6,11,"Evan_MC_B1_cell148619"
"4889",62,40,21,10,8,8,13,22,23,27,9,10,14,10,3,8,8,21,2,18,19,16,27,27,26,26,4,3,21,"Evan_MC_B1_cell148679"
"4890",26,21,10,3,38,12,20,6,9,3,5,15,29,5,10,6,27,5,6,17,12,7,10,21,12,22,9,11,23,"Evan_MC_B1_cell149241"
"4891",43,31,36,29,18,35,4,28,28,23,21,12,5,27,7,16,14,1,21,22,4,27,20,12,6,13,25,8,18,"Evan_MC_B1_cell149435"
"4892",26,21,13,3,38,26,20,6,9,3,28,7,29,3,10,3,27,5,6,23,12,17,25,24,3,2,2,11,23,"Evan_MC_B1_cell149613"
"4893",57,44,35,20,2,25,35,17,10,8,25,27,26,8,23,29,30,11,10,5,15,18,14,15,13,9,24,19,20,"Evan_MC_B1_cell150399"
"4894",20,17,25,5,34,36,5,13,27,14,31,22,24,24,24,26,19,22,29,11,2,14,11,8,10,8,14,15,9,"Evan_MC_B1_cell150500"
"4895",31,50,46,41,7,38,11,24,17,15,30,17,15,22,25,4,18,28,23,26,13,22,20,20,6,13,25,20,22,"Evan_MC_B1_cell150616"
"4896",6,17,45,5,34,36,5,13,27,14,31,22,24,24,24,26,19,22,29,11,2,14,11,8,10,8,14,15,9,"Evan_MC_B1_cell150676"
"4897",34,41,18,24,3,27,35,17,10,30,12,20,13,25,20,23,21,27,15,3,11,11,16,10,19,25,21,23,17,"Evan_MC_B1_cell150785"
"4898",62,43,5,33,13,39,34,31,24,11,16,29,10,2,2,13,12,20,17,24,22,21,12,14,17,15,19,14,10,"Evan_MC_B1_cell150993"
"4899",11,42,2,12,4,16,33,15,8,31,23,16,28,7,14,19,15,19,1,19,18,28,15,25,25,16,22,26,25,"Evan_MC_B1_cell151223"
"4900",28,25,8,37,36,34,16,9,20,22,24,3,6,14,29,15,29,12,24,20,27,25,9,22,20,19,11,9,8,"Evan_MC_B1_cell151402"
"4901",59,37,12,6,16,21,29,27,12,7,10,24,19,21,17,21,24,10,25,27,23,15,23,23,24,24,13,13,24,"Evan_MC_B1_cell151688"
"4902",22,50,46,41,7,38,11,24,17,15,30,17,15,22,25,4,18,28,23,26,13,22,20,20,6,13,25,20,22,"Evan_MC_B1_cell151841"
"4903",40,15,24,7,16,22,24,27,12,29,10,24,19,21,17,21,24,10,25,27,23,15,23,23,24,24,13,13,24,"Evan_MC_B1_cell152264"
"4904",48,14,42,16,24,5,21,36,33,33,34,32,30,30,30,30,4,31,28,7,29,26,26,16,11,23,8,25,5,"Evan_MC_B1_cell152523"
"4905",36,19,37,42,22,26,6,8,32,4,28,7,9,3,31,3,2,26,12,23,28,17,25,24,3,2,2,24,14,"Evan_MC_B1_cell152662"
"4906",14,21,37,42,22,26,6,8,32,4,28,7,9,3,31,3,2,26,12,23,28,17,25,24,3,2,2,24,14,"Evan_MC_B1_cell152821"
"4907",10,3,39,1,25,10,7,3,1,10,1,11,4,4,9,11,11,6,4,8,7,13,7,6,12,7,10,12,6,"Evan_MC_B1_cell152894"
"4908",3,8,10,1,39,12,20,6,9,3,5,15,29,5,10,6,27,5,6,17,12,7,10,21,12,22,9,11,23,"Evan_MC_B1_cell153345"
"4909",39,52,41,26,35,34,30,11,34,19,22,31,12,26,29,9,29,30,20,20,27,25,9,22,20,19,11,9,8,"Evan_MC_B1_cell153394"
"4910",43,10,9,29,18,11,4,28,28,2,33,12,5,27,7,16,14,1,21,22,4,27,20,12,6,13,25,8,18,"Evan_MC_B1_cell153628"
"4911",32,27,14,9,27,20,31,14,31,28,27,30,27,1,5,1,16,29,26,28,9,8,24,26,9,14,26,16,26,"Evan_MC_B1_cell153834"
"4912",3,8,10,1,39,12,20,6,9,3,5,15,29,5,9,6,27,5,6,17,12,7,10,21,12,22,9,11,23,"Evan_MC_B1_cell154165"
"4913",14,19,37,42,22,26,6,8,32,4,28,7,9,3,31,3,2,26,12,23,28,17,25,24,3,2,2,24,14,"Evan_MC_B1_cell154197"
"4914",38,36,29,19,20,15,19,25,21,32,20,9,17,29,32,31,23,24,27,21,24,24,21,2,14,11,16,18,15,"Evan_MC_B1_cell154221"
"4915",39,52,20,26,21,34,25,11,34,19,24,3,12,26,29,9,29,30,20,20,27,25,9,22,20,19,11,9,8,"Evan_MC_B1_cell154493"
"4916",53,49,43,36,36,23,16,9,34,22,24,31,6,14,18,15,22,12,24,20,27,25,9,22,20,19,11,9,8,"Evan_MC_B1_cell154497"
"4917",6,17,45,5,34,36,5,13,27,14,31,22,24,24,24,26,19,22,29,11,2,14,11,8,10,8,14,15,9,"Evan_MC_B1_cell154604"
"4918",35,45,16,8,40,4,12,12,4,6,7,14,25,28,26,24,28,14,14,14,21,19,18,18,22,10,15,17,13,"Evan_MC_B1_cell155077"
"4919",55,44,35,20,2,25,35,17,10,8,25,27,26,8,23,29,30,11,10,5,15,18,14,15,13,9,24,19,20,"Evan_MC_B1_cell155653"
"4920",49,18,32,32,17,7,10,35,16,29,32,23,22,9,28,1,17,29,26,28,9,8,24,26,9,14,26,16,26,"Evan_MC_B1_cell155916"
"4921",51,51,31,17,15,17,33,15,13,17,29,6,28,7,14,19,15,19,1,19,18,28,15,25,25,16,22,26,25,"Evan_MC_B1_cell156020"
"4922",48,14,42,16,24,5,21,36,33,33,34,32,30,30,30,30,4,31,28,7,29,26,26,16,11,23,8,25,5,"Evan_MC_B1_cell156045"
"4923",57,41,35,20,26,25,35,17,10,8,25,27,26,8,23,29,30,11,10,5,15,18,14,15,13,9,24,19,20,"Evan_MC_B1_cell156137"
"4924",34,22,18,24,3,27,23,1,15,30,12,20,13,25,20,23,21,27,15,3,11,11,16,10,19,25,21,23,17,"Evan_MC_B1_cell156855"
"4925",34,22,18,24,3,27,23,1,15,30,12,20,13,25,20,23,21,27,15,3,11,11,16,10,19,25,21,23,17,"Evan_MC_B1_cell157126"
"4926",27,34,44,30,28,31,15,29,19,21,4,2,16,16,26,24,28,14,14,14,21,19,18,18,22,10,15,17,13,"Evan_MC_B1_cell157186"
"4927",41,48,30,40,19,1,32,26,8,31,23,16,28,7,15,19,15,19,1,19,18,28,15,25,25,16,22,26,25,"Evan_MC_B1_cell157320"
"4928",7,53,30,40,15,17,32,26,13,17,23,16,28,7,15,19,15,19,1,19,18,28,15,25,25,16,22,26,25,"Evan_MC_B1_cell157364"
"4929",1,29,3,34,10,3,1,10,6,25,13,8,11,5,8,27,26,9,9,10,7,13,7,21,18,22,12,11,4,"Evan_MC_B1_cell157876"
"4930",3,8,10,4,39,9,20,3,9,10,5,15,4,4,9,6,11,5,6,17,12,7,10,21,12,22,9,11,23,"Evan_MC_B1_cell157988"
"4931",26,21,10,3,38,12,20,6,9,3,5,15,29,5,10,6,27,5,6,17,12,7,10,21,12,22,9,11,23,"Evan_MC_B1_cell158003"
"4932",58,43,5,33,13,39,34,31,24,11,16,29,10,2,2,13,12,20,17,24,22,21,12,14,17,15,19,14,10,"Evan_MC_B1_cell158161"
"4933",31,50,46,41,7,38,11,24,17,15,30,17,15,22,25,4,18,28,23,26,13,22,20,20,6,13,25,20,22,"Evan_MC_B1_cell158358"
"4934",44,38,6,22,11,32,18,32,25,13,17,26,23,11,22,25,7,15,11,12,3,2,3,1,2,3,3,2,1,"Evan_MC_B1_cell158373"
"4935",13,18,17,35,27,22,24,20,16,29,27,23,22,1,28,1,17,29,26,28,9,8,24,26,9,14,26,16,26,"Evan_MC_B1_cell158438"
"4936",1,29,3,34,33,3,1,19,6,3,2,8,11,5,8,27,26,9,6,10,12,7,10,21,18,22,12,11,4,"Evan_MC_B1_cell158454"
"4937",57,41,18,24,26,27,35,17,10,30,12,27,13,8,23,29,21,27,10,3,15,18,14,10,13,25,24,19,17,"Evan_MC_B1_cell158535"
"4938",32,20,14,9,6,7,31,14,31,28,32,30,27,9,5,1,16,29,26,28,9,8,24,26,9,14,26,16,26,"Evan_MC_B1_cell158603"
"4939",42,47,4,13,29,14,17,18,26,24,26,25,3,13,21,17,13,16,18,15,16,10,8,11,15,20,7,7,12,"Evan_MC_B1_cell159036"
"4940",6,17,45,5,34,36,5,13,27,14,31,22,24,24,24,26,19,22,29,11,2,14,11,8,10,8,14,15,9,"Evan_MC_B1_cell159211"
"4941",46,6,47,38,30,24,9,7,3,20,6,28,2,18,6,12,3,4,8,25,25,3,4,3,7,6,27,6,11,"Evan_MC_B1_cell159416"
"4942",1,29,3,34,10,3,1,10,6,25,13,8,11,5,8,27,26,9,9,10,7,13,7,21,18,22,12,11,4,"Evan_MC_B1_cell159937"
"4943",45,39,28,39,14,11,36,4,28,2,33,12,5,27,7,18,14,25,21,22,26,23,22,12,16,12,17,8,18,"Evan_MC_B1_cell159948"
"4944",29,12,48,11,31,33,28,23,18,26,18,18,20,15,11,10,10,13,13,13,14,1,6,5,1,1,1,1,14,"Evan_MC_B1_cell160786"
"4945",32,27,14,9,27,20,31,14,31,28,27,30,27,1,5,1,16,29,26,28,9,8,24,26,9,14,26,16,26,"Evan_MC_B1_cell160947"
"4946",14,21,13,42,22,26,6,8,32,4,28,7,9,3,31,3,2,26,12,23,28,17,25,24,3,2,2,24,23,"Evan_MC_B1_cell161053"
"4947",61,52,8,37,21,34,25,9,20,22,24,3,6,14,29,9,29,12,20,20,27,25,9,22,20,19,11,9,8,"Evan_MC_B1_cell161279"
"4948",24,35,26,21,32,30,26,16,26,9,14,13,1,23,19,22,13,17,18,16,17,10,8,11,15,20,7,7,12,"Evan_MC_B1_cell161319"
"4949",58,43,5,33,13,39,34,31,24,11,16,29,10,2,2,13,12,20,17,24,22,21,12,14,17,15,19,14,10,"Evan_MC_B1_cell161407"
"4950",3,8,10,4,39,9,20,3,9,10,5,15,4,4,9,6,11,5,6,17,12,7,10,21,12,22,9,11,23,"Evan_MC_B1_cell161502"
"4951",58,43,5,33,13,39,34,31,24,11,16,29,10,2,2,13,12,20,17,24,22,21,12,14,17,15,19,14,10,"Evan_MC_B1_cell161653"
"4952",52,30,29,19,20,15,19,25,21,32,20,9,17,29,32,31,23,24,27,21,24,24,21,2,14,11,16,18,15,"Evan_MC_B1_cell161700"
"4953",53,49,43,36,36,37,30,34,34,19,22,31,12,14,18,15,22,30,24,20,27,25,9,22,20,19,11,9,8,"Evan_MC_B1_cell162381"
"4954",18,46,40,25,5,18,27,33,7,16,19,19,21,19,13,5,5,7,22,29,20,9,2,9,4,4,5,4,3,"Evan_MC_B1_cell162494"
"4955",13,18,17,35,27,22,24,20,16,29,27,23,22,1,28,1,17,29,26,28,9,8,24,26,9,14,26,16,26,"Evan_MC_B1_cell162680"
"4956",3,8,10,1,39,9,20,3,9,10,5,15,4,4,9,6,11,5,6,17,12,7,10,21,12,22,9,11,23,"Evan_MC_B1_cell163259"
"4957",59,37,12,6,16,21,29,27,12,29,10,24,19,21,17,21,24,10,25,27,23,15,23,23,24,24,13,13,24,"Evan_MC_B1_cell163279"
"4958",9,23,34,33,13,39,34,31,24,11,16,29,10,2,2,13,12,20,17,24,22,21,12,14,17,15,19,14,10,"Evan_MC_B1_cell163427"
"4959",39,52,20,26,21,34,25,11,20,19,24,3,12,26,29,9,29,30,20,20,27,25,9,22,20,19,11,9,8,"Evan_MC_B1_cell163437"
"4960",46,6,47,38,30,24,9,7,3,20,6,28,2,18,6,12,3,4,8,25,25,3,4,3,7,6,27,6,11,"Evan_MC_B1_cell163474"
"4961",19,10,9,29,18,38,11,24,17,15,30,17,15,22,25,16,14,1,21,22,4,27,20,20,6,13,25,8,18,"Evan_MC_B1_cell163532"
"4962",46,6,47,38,30,24,9,7,3,20,6,28,2,18,6,12,3,4,8,25,25,3,4,3,7,6,27,6,11,"Evan_MC_B1_cell163637"
"4963",52,30,29,19,20,15,19,25,21,32,20,9,17,29,32,31,23,24,27,21,24,24,21,2,14,11,16,18,15,"Evan_MC_B1_cell163723"
"4964",3,8,10,1,39,9,20,6,9,3,5,15,4,4,9,6,11,5,6,17,12,7,10,21,12,22,9,11,23,"Evan_MC_B1_cell163795"
"4965",60,33,19,15,12,28,22,30,29,12,15,21,31,20,16,20,20,23,19,6,8,5,17,17,21,17,23,22,19,"Evan_MC_B1_cell164134"
"4966",3,8,10,4,39,12,20,6,9,3,5,15,29,5,9,6,27,5,6,17,12,7,10,21,12,22,9,11,23,"Evan_MC_B1_cell164482"
"4967",11,42,2,12,4,1,33,26,8,31,23,16,28,7,15,19,15,19,1,19,18,28,15,25,25,16,22,26,25,"Evan_MC_B1_cell165011"
"4968",39,52,20,26,21,34,25,11,34,19,24,3,12,26,29,9,29,30,20,20,27,25,9,22,20,19,11,9,8,"Evan_MC_B1_cell165095"
"4969",42,47,4,13,29,14,17,18,26,24,26,25,3,13,21,17,13,16,18,15,16,10,8,11,15,20,7,7,12,"Evan_MC_B1_cell165141"
"4970",40,18,24,35,27,22,24,20,16,29,27,23,22,1,28,1,17,29,26,28,9,8,24,26,9,14,26,16,26,"Evan_MC_B1_cell165182"
"4971",31,50,46,41,7,38,11,24,17,15,30,17,15,22,25,4,18,28,23,26,13,22,20,20,6,13,25,20,22,"Evan_MC_B1_cell165490"
"4972",23,26,45,31,34,36,5,13,27,14,31,22,24,24,24,26,19,22,29,11,2,14,11,8,10,8,14,15,9,"Evan_MC_B1_cell165558"
"4973",23,1,25,5,34,36,5,13,27,14,31,22,24,24,24,26,19,22,29,11,2,14,11,8,10,8,14,15,9,"Evan_MC_B1_cell165724"
