"","Rsec","RsecT","cells"
"5199",19,19,"SM-GE66P_S168_E1-50"
"5200",19,19,"SM-GE66P_S169_E1-50"
"5201",14,14,"SM-GE66P_S170_E1-50"
"5202",-1,19,"SM-GE66P_S171_E1-50"
"5203",-1,19,"SM-GE66P_S172_E1-50"
"5204",9,9,"SM-GE66P_S173_E1-50"
"5205",-1,21,"SM-GE66P_S174_E1-50"
"5206",-1,17,"SM-GE66P_S175_E1-50"
"5207",-1,19,"SM-GE66P_S177_E1-50"
"5208",-1,19,"SM-GE66P_S178_E1-50"
"5209",17,17,"SM-GE66P_S179_E1-50"
"5210",-1,19,"SM-GE66P_S180_E1-50"
"5211",17,17,"SM-GE66P_S181_E1-50"
"5212",17,17,"SM-GE66P_S182_E1-50"
"5213",-1,19,"SM-GE66P_S183_E1-50"
"5214",16,16,"SM-GE66P_S184_E1-50"
"5215",-1,3,"SM-GE66P_S185_E1-50"
"5216",-1,19,"SM-GE66P_S186_E1-50"
"5217",14,14,"SM-GE66P_S187_E1-50"
"5218",14,14,"SM-GE66P_S188_E1-50"
"5219",16,16,"SM-GE66P_S189_E1-50"
"5220",10,10,"SM-GE66P_S190_E1-50"
"5221",-1,19,"SM-GE66P_S191_E1-50"
"5222",-1,14,"SM-GE66P_S192_E1-50"
"5223",1,1,"SM-GE66A_S001_E1-50"
"5224",-1,12,"SM-GE66A_S002_E1-50"
"5225",18,18,"SM-GE66A_S003_E1-50"
"5226",7,7,"SM-GE66A_S004_E1-50"
"5227",18,18,"SM-GE66A_S005_E1-50"
"5228",18,18,"SM-GE66A_S006_E1-50"
"5229",7,7,"SM-GE66A_S007_E1-50"
"5230",18,18,"SM-GE66A_S008_E1-50"
"5231",18,18,"SM-GE66A_S009_E1-50"
"5232",7,7,"SM-GE66A_S010_E1-50"
"5233",7,7,"SM-GE66A_S011_E1-50"
"5234",13,13,"SM-GE66A_S012_E1-50"
"5235",1,1,"SM-GE66A_S013_E1-50"
"5236",-1,15,"SM-GE66A_S014_E1-50"
"5237",-1,17,"SM-GE66A_S015_E1-50"
"5238",18,18,"SM-GE66A_S016_E1-50"
"5239",7,7,"SM-GE66A_S017_E1-50"
