"2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "17" "18" "19" "20" "21" "22" "23" "24" "25" "26" "27" "cells"
"61" 1 1 3 2 1 1 1 1 2 2 3 2 4 2 4 3 2 6 5 5 6 4 9 4 8 9 "LS-15398_S25_E1-50"
"62" 2 2 4 1 5 3 3 3 7 8 9 13 13 12 16 12 11 15 13 20 18 20 18 15 22 21 "LS-15398_S26_E1-50"
"63" 2 3 1 3 4 5 8 7 4 11 12 6 11 11 12 15 9 14 12 17 17 18 20 13 25 20 "LS-15398_S27_E1-50"
"64" 2 3 1 3 4 5 8 7 4 11 12 6 11 11 12 14 9 13 11 16 17 17 20 14 26 17 "LS-15398_S28_E1-50"
"65" 1 1 3 2 2 2 4 4 8 9 4 3 6 7 7 7 5 7 7 10 8 11 12 7 11 13 "LS-15398_S29_E1-50"
"66" 1 1 3 2 1 1 1 1 2 2 3 2 4 2 4 3 2 6 5 5 6 4 9 4 8 9 "LS-15398_S30_E1-50"
"67" 2 3 1 3 4 5 8 7 4 11 12 6 11 11 12 15 9 13 11 16 17 17 20 14 26 17 "LS-15398_S31_E1-50"
"68" 1 1 3 2 2 2 4 4 8 9 4 3 6 7 7 7 5 7 7 10 8 11 12 7 11 13 "LS-15398_S32_E1-50"
"69" 1 1 3 2 1 1 1 1 2 2 3 2 4 2 4 3 2 6 5 5 6 4 9 4 8 9 "LS-15500_S09_E1-50"
"70" 1 1 3 2 1 1 1 1 2 2 3 2 4 2 4 3 2 6 5 5 6 4 9 4 8 9 "LS-15500_S10_E1-50"
"71" 2 3 1 3 4 5 8 7 4 11 12 6 11 11 12 14 9 14 12 17 16 19 19 12 24 16 "LS-15500_S11_E1-50"
"72" 1 1 3 2 2 2 4 4 8 9 4 3 6 7 7 7 5 7 7 10 8 11 12 7 11 13 "LS-15500_S12_E1-50"
"73" 2 3 1 3 4 5 8 7 4 11 12 6 11 11 12 15 9 14 12 17 17 18 20 13 25 20 "LS-15500_S13_E1-50"
"74" 1 1 3 2 1 1 1 1 2 2 3 2 4 2 4 3 2 6 5 5 6 4 9 4 8 9 "LS-15500_S14_E1-50"
"75" 1 1 3 2 1 1 1 1 2 2 3 2 4 2 4 3 2 6 5 5 6 4 9 4 8 9 "LS-15500_S15_E1-50"
"76" 2 3 1 3 4 5 8 7 4 11 12 6 11 11 12 15 9 13 11 16 17 17 20 14 26 17 "LS-15500_S16_E1-50"
"77" 2 3 1 3 4 5 8 7 4 11 12 6 11 11 12 15 9 13 11 16 17 17 20 14 26 17 "LS-15500_S18_E1-50"
"78" 2 3 1 3 4 5 8 7 4 11 12 6 11 11 12 15 9 13 11 16 17 17 20 14 26 17 "LS-15500_S19_E1-50"
"79" 1 1 3 2 2 2 4 4 8 9 4 3 6 7 7 7 5 7 7 10 8 11 12 7 11 13 "LS-15500_S20_E1-50"
"80" 2 3 1 3 4 5 8 7 4 11 12 6 11 11 12 15 9 14 12 17 17 18 20 13 25 20 "LS-15500_S21_E1-50"
"81" 1 1 3 2 2 2 4 4 8 9 4 3 6 7 7 7 5 7 7 10 8 11 12 7 11 13 "LS-15500_S22_E1-50"
"82" 1 1 3 2 2 2 4 4 8 9 4 3 6 7 7 7 5 7 7 10 8 11 12 7 11 13 "LS-15500_S23_E1-50"
