"","-28","-27","-26","-25","-24","-23","-22","-21","-20","-19","-18","-17","-16","-15","-14","-13","-12","-11","-10","-9","-8","-7","-6","-5","-4","-3","-2","-1","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","cells"
"47",1,3,1,1,5,7,4,6,8,9,9,8,11,13,14,7,5,6,6,8,8,8,8,7,10,9,8,9,8,10,11,9,8,8,13,2,13,12,12,11,36,8,14,5,15,11,7,5,10,"SM-GE653_S160_E1-50"
"48",1,3,1,1,5,7,3,7,9,11,12,9,12,14,15,8,8,9,10,20,10,11,12,22,13,24,27,16,27,19,32,15,31,35,31,27,23,35,36,41,6,14,17,16,19,29,21,23,21,"SM-GE653_S161_E1-50"
"49",1,2,3,4,1,1,1,1,1,1,1,2,1,1,1,3,1,1,2,3,5,3,3,3,5,3,5,1,5,4,3,6,1,1,1,33,5,1,2,2,5,4,2,15,3,10,14,14,12,"SM-GE653_S162_E1-50"
"50",1,2,3,5,2,2,6,8,10,7,7,13,8,8,5,14,17,12,16,13,19,23,24,19,24,14,17,26,24,25,18,30,24,22,22,21,36,24,32,31,26,39,36,36,43,35,39,46,42,"SM-GE653_S163_E1-50"
"51",1,3,1,1,5,7,3,7,9,11,12,9,12,14,15,8,8,9,10,20,10,11,12,22,13,24,27,13,27,14,28,13,31,34,31,25,17,36,37,39,9,18,19,17,20,16,20,24,23,"SM-GE653_S164_E1-50"
"52",1,3,1,1,5,7,3,7,9,11,12,9,12,14,15,8,8,9,10,20,10,11,12,22,13,24,27,13,27,14,28,13,31,34,31,25,17,36,37,39,9,18,19,17,20,16,20,24,23,"SM-GE653_S165_E1-50"
"53",1,3,1,1,5,7,3,7,9,11,11,11,3,15,16,9,7,7,9,19,11,10,17,23,12,25,25,14,28,17,30,19,32,30,35,26,20,37,38,37,10,19,20,18,22,19,25,25,25,"SM-GE653_S166_E1-50"
"54",1,3,1,1,5,7,3,7,9,11,11,11,3,15,16,9,7,7,9,19,11,10,17,23,12,25,25,14,28,17,30,19,32,32,36,26,21,39,40,38,12,20,22,20,23,20,27,26,24,"SM-GE653_S167_E1-50"
"55",1,3,1,1,5,7,3,7,9,11,11,11,3,15,16,9,7,7,9,19,11,10,17,23,12,25,25,14,28,17,30,19,32,30,35,26,20,37,38,37,10,19,20,18,22,19,25,25,25,"SM-GE653_S168_E1-50"
"56",1,2,3,4,2,2,6,8,10,7,7,13,8,8,4,16,12,15,17,1,18,22,23,18,23,19,18,25,25,24,20,29,21,21,24,20,31,32,24,35,23,32,32,34,37,34,38,42,41,"SM-GE653_S169_E1-50"
"57",1,1,4,2,3,4,7,4,6,3,2,5,4,4,3,10,9,10,11,9,13,12,10,10,15,11,12,17,10,12,13,21,14,11,17,5,24,15,16,14,13,22,24,23,25,23,28,28,26,"SM-GE653_S171_E1-50"
"58",1,2,3,4,1,1,1,1,1,1,1,2,1,1,1,3,1,1,2,3,5,3,3,3,5,3,5,1,5,4,3,6,1,1,1,33,5,1,2,2,5,4,2,15,3,10,14,14,12,"SM-GE653_S172_E1-50"
"59",1,2,3,4,1,1,1,1,1,1,1,2,1,1,1,2,2,2,3,4,4,2,4,2,1,4,1,3,1,5,1,1,2,2,5,36,6,5,6,5,1,7,3,10,7,3,15,20,13,"SM-GE653_S173_E1-50"
