"","k_10","k_15","k_20","k_25","k_30","k_35","k_40","k_45","k_50","k_55","k_60","k_65","k_70","k_75","k_80","k_85","k_90","k_95","k_100","k_105","k_110","k_115","k_120","k_125","k_130","k_135","k_140","k_145","k_150","cells"
"50",49,25,25,32,28,19,13,17,22,20,18,17,17,14,16,15,16,15,4,2,4,1,1,1,1,2,14,4,3,"SM-GE653_S163_E1-50"
"51",9,20,28,10,2,17,23,2,7,2,3,9,9,1,3,5,8,5,6,7,7,5,5,5,5,7,7,7,1,"SM-GE653_S164_E1-50"
"52",35,26,12,17,13,3,7,10,10,13,4,10,2,12,11,7,9,7,7,9,10,6,10,10,8,11,9,10,8,"SM-GE653_S165_E1-50"
"53",15,21,6,11,14,4,25,22,8,7,10,5,5,3,6,6,6,6,8,5,6,7,11,6,6,10,12,12,9,"SM-GE653_S166_E1-50"
"54",17,24,12,18,12,12,1,22,16,11,7,5,5,3,6,6,6,6,8,5,6,7,11,6,6,10,12,12,9,"SM-GE653_S167_E1-50"
"55",15,21,6,11,14,4,25,22,8,7,10,5,5,3,6,6,6,6,8,5,6,7,11,6,6,10,12,12,9,"SM-GE653_S168_E1-50"
"56",43,18,13,19,24,22,17,15,9,5,16,2,3,15,4,15,3,3,9,2,9,8,1,1,1,2,14,4,3,"SM-GE653_S169_E1-50"
"57",27,29,1,28,11,10,4,4,4,10,2,15,10,6,1,1,1,1,3,1,15,11,2,14,12,1,4,1,6,"SM-GE653_S171_E1-50"
"58",33,35,34,25,19,25,9,7,1,12,8,6,7,17,17,16,4,9,1,12,3,12,15,2,3,3,3,9,14,"SM-GE653_S172_E1-50"
"59",43,39,32,19,24,22,17,15,9,5,16,2,3,4,14,11,3,3,14,3,1,3,9,9,15,14,15,3,5,"SM-GE653_S173_E1-50"
"60",5,35,34,22,19,25,2,1,1,12,8,6,6,17,12,16,7,9,1,8,3,12,15,2,3,3,3,9,14,"SM-GE653_S174_E1-50"
"61",33,35,34,25,19,25,9,7,1,12,8,6,7,17,17,16,4,9,1,12,3,12,15,2,3,3,3,9,14,"SM-GE653_S175_E1-50"
"62",33,35,34,25,19,25,9,7,1,12,8,6,7,17,17,16,4,9,1,12,3,12,15,2,3,3,3,9,14,"SM-GE653_S176_E1-50"
"63",33,35,34,22,19,25,2,1,1,12,8,6,6,17,12,16,4,9,1,12,3,12,15,2,3,3,3,9,14,"SM-GE653_S178_E1-50"
"64",2,6,31,22,3,1,2,1,1,12,8,6,6,17,12,16,4,12,1,12,3,12,15,2,3,3,3,9,14,"SM-GE653_S179_E1-50"
"65",26,33,29,31,25,14,8,11,17,22,20,14,19,15,4,8,7,9,9,8,9,8,12,11,9,12,11,9,14,"SM-GE653_S180_E1-50"
"66",15,21,6,11,14,4,25,22,8,7,10,5,5,3,6,6,6,6,8,5,6,7,11,6,6,10,12,12,9,"SM-GE653_S181_E1-50"
"67",47,39,32,27,24,22,17,15,9,5,16,2,3,4,14,11,3,3,14,3,1,3,9,9,15,14,15,3,5,"SM-GE653_S182_E1-50"
"68",5,6,31,22,3,1,2,1,1,12,8,6,6,17,12,16,4,12,1,12,3,12,15,2,3,3,3,9,14,"SM-GE653_S183_E1-50"
"69",2,6,31,22,3,1,2,1,1,12,8,6,6,17,12,16,4,12,1,12,3,12,15,2,3,3,3,9,14,"SM-GE653_S184_E1-50"
"70",26,33,35,31,19,25,9,7,17,22,20,14,7,15,17,8,7,9,9,8,9,8,12,11,9,12,11,9,14,"SM-GE653_S185_E1-50"
"71",43,18,13,19,16,18,24,21,11,1,20,14,19,15,4,15,3,3,9,2,9,8,1,1,1,2,14,4,3,"SM-GE653_S187_E1-50"
"72",26,35,34,25,19,25,9,7,1,12,8,6,7,17,17,16,4,9,1,12,3,12,15,2,3,3,3,9,14,"SM-GE653_S188_E1-50"
"73",33,35,34,25,19,25,9,7,1,12,8,6,7,17,17,16,4,9,1,12,3,12,15,2,3,3,3,9,14,"SM-GE653_S189_E1-50"
"74",26,33,35,31,19,25,9,11,17,22,20,14,7,15,17,8,7,9,9,8,9,8,12,11,9,12,11,9,14,"SM-GE653_S190_E1-50"
"75",8,11,29,33,25,14,8,11,17,22,20,14,19,15,4,8,7,9,9,8,9,8,12,11,9,12,11,9,14,"SM-GE653_S191_E1-50"
"76",33,6,31,22,3,1,2,1,1,12,8,6,6,17,12,16,4,12,1,12,3,12,15,2,3,3,3,9,14,"SM-GE653_S192_E1-50"
"77",29,14,27,16,1,24,20,9,6,16,15,13,14,10,8,9,13,13,13,10,11,9,7,7,7,8,2,5,4,"SM-GE64R_S097_E1-50"
"78",14,19,11,24,18,7,14,13,2,3,5,3,8,5,7,2,5,5,6,7,7,5,5,5,5,7,7,7,1,"SM-GE64R_S098_E1-50"
"79",23,10,22,12,22,11,19,18,18,8,1,11,16,13,15,14,15,14,15,14,14,14,14,15,13,9,13,14,12,"SM-GE64R_S099_E1-50"
"80",29,21,6,11,14,4,25,22,8,7,10,13,14,10,8,9,13,13,13,10,11,9,7,7,7,8,2,5,4,"SM-GE64R_S100_E1-50"
"81",6,37,20,29,9,8,10,12,12,9,15,13,14,10,8,9,13,13,13,10,11,9,7,7,7,8,2,5,4,"SM-GE64R_S101_E1-50"
"82",1,1,2,7,2,17,23,2,7,2,3,9,9,1,3,5,8,5,6,7,7,5,5,5,5,7,7,7,1,"SM-GE64R_S102_E1-50"
"83",6,37,20,29,9,8,10,12,12,9,15,13,14,10,8,9,13,13,13,10,11,9,7,7,7,8,2,5,4,"SM-GE64R_S103_E1-50"
"84",29,14,27,16,1,24,20,12,12,9,15,13,14,10,8,9,13,13,13,10,11,9,7,7,7,8,2,5,4,"SM-GE64R_S104_E1-50"
"85",29,14,27,16,9,24,20,12,12,9,15,13,14,10,8,9,13,13,13,10,11,9,7,7,7,8,2,5,4,"SM-GE64R_S105_E1-50"
"86",17,23,23,8,1,24,20,9,6,16,15,13,14,10,8,9,13,13,13,10,11,9,7,7,7,8,2,5,4,"SM-GE64R_S106_E1-50"
"87",29,14,27,16,1,24,20,12,12,9,15,13,14,10,8,9,13,13,13,10,11,9,7,7,7,8,2,5,4,"SM-GE64R_S107_E1-50"
"88",29,14,27,16,1,24,20,12,12,9,15,13,14,10,8,9,13,13,13,10,11,9,7,7,7,8,2,5,4,"SM-GE64R_S108_E1-50"
"89",29,14,27,16,1,24,20,12,12,9,15,13,14,10,8,9,13,13,13,10,11,9,7,7,7,8,2,5,4,"SM-GE64R_S109_E1-50"
"90",17,23,23,8,1,24,20,9,6,16,15,13,14,10,8,9,13,13,13,10,11,9,7,7,7,8,2,5,4,"SM-GE64R_S110_E1-50"
"91",6,37,20,29,9,8,10,12,12,9,15,13,14,10,8,9,13,13,13,10,11,9,7,7,7,8,2,5,4,"SM-GE64R_S111_E1-50"
"92",29,14,27,16,1,24,20,12,12,9,15,13,14,10,8,9,13,13,13,10,11,9,7,7,7,8,2,5,4,"SM-GE64R_S112_E1-50"
"93",14,19,11,24,18,7,14,13,2,3,5,3,8,5,7,2,5,5,6,7,7,5,5,5,5,7,7,7,1,"SM-GE64R_S113_E1-50"
"94",7,37,20,29,20,8,10,9,6,16,15,13,14,10,8,9,13,13,13,10,11,9,7,7,7,8,2,5,4,"SM-GE64R_S114_E1-50"
"95",25,23,23,8,20,24,20,9,6,16,15,13,14,10,8,9,13,13,13,10,11,9,7,7,7,8,2,5,4,"SM-GE64R_S115_E1-50"
"96",6,37,20,29,9,8,10,12,12,9,15,13,14,10,8,9,13,13,13,10,11,9,7,7,7,8,2,5,4,"SM-GE64R_S116_E1-50"
"97",24,23,23,8,20,24,20,9,6,16,15,13,14,10,8,9,13,13,13,10,11,9,7,7,7,8,2,5,4,"SM-GE64R_S117_E1-50"
"98",29,14,23,8,9,8,20,9,6,16,15,13,14,10,8,9,13,13,13,10,11,9,7,7,7,8,2,5,4,"SM-GE64R_S118_E1-50"
"99",24,23,23,8,20,24,20,9,6,16,15,13,14,10,8,9,13,13,13,10,11,9,7,7,7,8,2,5,4,"SM-GE64R_S119_E1-50"
"100",29,14,27,16,1,24,20,12,12,9,15,13,14,10,8,9,13,13,13,10,11,9,7,7,7,8,2,5,4,"SM-GE64R_S120_E1-50"
"101",11,12,24,23,27,21,15,16,15,17,13,18,15,9,13,13,12,11,12,11,12,13,8,3,2,5,5,13,10,"SM-GE64R_S121_E1-50"
"102",31,9,3,2,4,2,18,3,3,18,6,7,18,16,18,4,14,4,5,4,5,2,3,12,10,4,10,11,11,"SM-GE64R_S122_E1-50"
"103",38,32,37,15,26,26,22,20,20,6,11,4,1,6,1,1,1,1,3,1,15,11,2,14,12,1,4,1,6,"SM-GE64R_S123_E1-50"
"104",46,27,19,9,10,9,18,3,3,18,6,7,18,16,13,13,14,4,5,4,5,13,8,3,2,5,5,13,10,"SM-GE64R_S124_E1-50"
"105",31,9,3,2,4,2,18,3,3,18,6,7,18,16,18,4,14,4,5,4,5,2,3,12,10,4,10,11,11,"SM-GE64R_S125_E1-50"
"106",27,29,1,28,11,10,4,4,4,10,2,15,10,6,1,1,1,1,3,1,15,11,2,14,12,1,4,1,6,"SM-GE64R_S126_E1-50"
"107",11,12,24,23,27,21,15,16,15,17,13,18,15,9,13,13,12,11,12,11,12,13,8,3,2,5,5,13,10,"SM-GE64R_S127_E1-50"
"108",38,32,37,15,26,26,22,20,20,6,11,4,1,6,1,1,1,1,3,1,15,11,2,14,12,1,4,1,6,"SM-GE64R_S128_E1-50"
"109",38,32,37,15,26,26,22,20,20,6,11,4,1,6,1,1,1,1,3,1,15,11,2,14,12,1,4,1,6,"SM-GE64R_S137_E1-50"
"110",22,30,30,4,17,21,15,16,15,17,13,18,15,9,13,13,12,11,12,11,12,13,8,3,2,5,5,13,10,"SM-GE64R_S138_E1-50"
"111",46,38,17,2,4,2,18,3,3,18,6,7,18,16,18,4,14,4,5,4,5,2,3,12,10,4,10,11,11,"SM-GE64R_S139_E1-50"
"112",48,2,8,1,21,20,21,19,19,15,14,19,4,11,10,12,11,10,11,13,13,10,13,13,11,13,1,2,13,"SM-GE64R_S140_E1-50"
"113",31,9,3,2,4,2,18,3,3,18,6,7,18,16,18,4,14,4,5,4,5,2,3,12,10,4,10,11,11,"SM-GE64R_S141_E1-50"
"114",46,38,17,9,10,9,18,3,3,18,6,7,18,16,13,13,14,4,5,4,5,13,8,3,2,5,5,13,10,"SM-GE64R_S142_E1-50"
"115",46,38,17,9,10,9,18,3,3,18,6,7,18,16,13,13,14,4,5,4,5,13,8,3,2,5,5,13,10,"SM-GE64R_S143_E1-50"
"116",11,12,24,23,27,21,15,16,15,17,13,18,15,9,13,13,12,11,12,11,12,13,8,3,2,5,5,13,10,"SM-GE64R_S144_E1-50"
"117",46,38,17,2,4,2,18,3,3,18,6,7,18,16,18,4,14,4,5,4,5,2,3,12,10,4,10,11,11,"SM-GE64R_S145_E1-50"
"118",27,29,1,28,11,10,4,4,4,10,2,15,10,6,1,1,1,1,3,1,15,11,2,14,12,1,4,1,6,"SM-GE64R_S146_E1-50"
"119",11,12,24,23,27,21,15,16,15,17,13,18,15,9,13,13,12,11,12,11,12,13,8,3,2,5,5,13,10,"SM-GE64R_S147_E1-50"
"120",22,30,30,4,17,21,15,16,15,17,13,18,15,9,13,13,12,11,12,11,12,13,8,3,2,5,5,13,10,"SM-GE64R_S148_E1-50"
"121",11,12,24,23,27,21,15,16,15,17,13,18,15,9,13,13,12,11,12,11,12,13,8,3,2,5,5,13,10,"SM-GE64R_S149_E1-50"
"122",48,2,8,1,21,20,21,19,19,15,14,19,4,11,10,12,11,10,11,13,13,10,13,13,11,13,1,2,13,"SM-GE64R_S150_E1-50"
"123",14,19,11,24,18,7,14,13,2,3,5,3,8,5,7,2,5,5,6,7,7,5,5,5,5,7,7,7,1,"SM-GE64R_S151_E1-50"
"124",31,9,3,2,4,2,18,3,3,18,6,7,18,16,18,4,14,4,5,4,5,2,3,12,10,4,10,11,11,"SM-GE64R_S152_E1-50"
"125",8,11,29,33,25,14,8,11,17,22,20,14,19,15,4,8,3,3,9,2,9,8,1,1,1,2,14,4,3,"SM-GE64R_S153_E1-50"
"126",33,35,34,22,19,25,2,1,1,12,8,6,6,17,12,16,4,9,1,12,3,12,15,2,3,3,3,9,14,"SM-GE64R_S154_E1-50"
"127",26,33,35,31,19,25,9,11,17,22,20,14,7,15,17,8,7,9,9,8,9,8,12,11,9,12,11,9,14,"SM-GE64R_S155_E1-50"
"128",47,39,32,27,24,22,17,15,9,5,16,2,3,4,14,11,3,3,14,3,1,3,9,9,15,14,15,3,5,"SM-GE64R_S156_E1-50"
"129",5,6,31,22,3,1,2,1,1,12,8,6,6,17,12,16,4,12,1,12,3,12,15,2,3,3,3,9,14,"SM-GE64R_S157_E1-50"
"130",26,35,34,25,19,25,9,7,1,12,8,6,7,17,17,16,4,9,1,12,3,12,15,2,3,3,3,9,14,"SM-GE64R_S158_E1-50"
"131",2,6,31,22,3,1,2,1,1,12,8,6,6,17,12,16,4,12,1,12,3,12,15,2,3,3,3,9,14,"SM-GE64R_S159_E1-50"
"132",26,11,29,33,25,14,8,11,17,22,20,14,19,15,4,8,7,9,9,8,9,8,12,11,9,12,11,9,14,"SM-GE64R_S160_E1-50"
"133",26,11,29,33,25,14,8,11,17,22,20,14,19,15,4,8,7,9,9,8,9,8,12,11,9,12,11,9,14,"SM-GE64R_S161_E1-50"
"134",37,33,35,31,19,25,9,11,17,22,20,14,7,15,17,8,7,9,9,8,9,8,12,11,9,12,11,9,14,"SM-GE64R_S162_E1-50"
"135",17,24,12,18,12,12,1,22,16,11,7,5,5,3,6,6,6,6,8,5,6,7,11,6,6,10,12,12,9,"SM-GE64R_S163_E1-50"
"136",8,11,29,33,25,14,8,11,17,22,20,14,19,15,4,8,7,9,9,8,9,8,12,11,9,12,11,9,14,"SM-GE64R_S164_E1-50"
"137",9,20,28,10,2,17,23,2,7,2,3,9,9,1,3,5,8,5,6,7,7,5,5,5,5,7,7,7,1,"SM-GE64R_S165_E1-50"
"138",33,35,34,25,19,25,9,7,1,12,8,6,7,17,17,16,4,9,1,12,3,12,15,2,3,3,3,9,14,"SM-GE64R_S166_E1-50"
"139",5,6,34,22,19,1,2,1,1,12,8,6,6,17,12,16,4,12,1,12,3,12,15,2,3,3,3,9,14,"SM-GE64R_S167_E1-50"
"140",17,24,12,18,12,12,1,22,16,11,7,5,5,3,6,6,6,6,8,5,6,7,11,6,6,10,12,12,9,"SM-GE64R_S168_E1-50"
"141",15,21,6,11,14,4,25,22,8,7,10,5,5,3,6,6,6,6,8,5,6,7,11,6,6,10,12,12,9,"SM-GE64R_S170_E1-50"
"142",26,33,35,31,19,25,9,11,17,22,20,14,7,15,17,8,7,9,9,8,9,8,12,11,9,12,11,9,14,"SM-GE64R_S171_E1-50"
"143",15,21,6,11,14,4,25,22,8,7,10,5,5,3,6,6,6,6,8,5,6,7,11,6,6,10,12,12,9,"SM-GE64R_S173_E1-50"
"144",15,21,6,11,14,4,25,22,8,7,10,5,5,3,6,6,6,6,8,5,6,7,11,6,6,10,12,12,9,"SM-GE64R_S174_E1-50"
"145",43,18,13,19,24,22,17,15,9,5,16,2,3,4,14,15,3,3,9,2,9,8,1,1,1,2,14,4,3,"SM-GE64R_S175_E1-50"
"146",43,18,13,19,16,18,24,21,11,1,20,14,19,15,4,15,3,3,9,2,9,8,1,1,1,2,14,4,3,"SM-GE64R_S177_E1-50"
"147",43,18,13,19,16,18,24,21,11,1,20,14,19,15,4,15,3,3,9,2,9,8,1,1,1,2,14,4,3,"SM-GE64R_S178_E1-50"
"148",8,11,29,33,25,14,8,11,17,22,20,14,19,15,4,8,7,9,9,8,9,8,12,11,9,12,11,9,14,"SM-GE64R_S179_E1-50"
"149",43,18,13,19,16,18,24,21,11,1,20,14,19,15,4,15,3,3,9,2,9,8,1,1,1,2,14,4,3,"SM-GE64R_S180_E1-50"
"150",8,11,29,33,25,14,8,11,17,22,20,14,19,15,4,8,7,9,9,8,9,8,12,11,9,12,11,9,14,"SM-GE64R_S181_E1-50"
"151",49,18,13,19,16,18,24,21,11,1,20,14,19,15,4,15,3,3,9,2,9,8,1,1,1,2,14,4,3,"SM-GE64R_S182_E1-50"
"152",5,35,34,22,19,25,2,1,1,12,8,6,6,17,12,16,7,9,1,8,3,12,15,2,3,3,3,9,14,"SM-GE64R_S183_E1-50"
"153",47,39,32,27,24,22,17,15,9,5,16,2,3,4,14,11,3,3,14,3,1,3,9,9,15,14,15,3,5,"SM-GE64R_S184_E1-50"
"154",49,18,13,19,16,18,24,21,11,1,20,14,19,15,4,15,3,3,9,2,9,8,1,1,1,2,14,4,3,"SM-GE64R_S185_E1-50"
"155",43,18,13,19,16,18,24,21,11,1,20,14,19,15,4,15,3,3,9,2,9,8,1,1,1,2,14,4,3,"SM-GE64R_S186_E1-50"
"156",5,6,31,22,3,1,2,1,1,12,8,6,6,17,12,16,4,12,1,12,3,12,15,2,3,3,3,9,14,"SM-GE64R_S187_E1-50"
"157",8,11,29,33,25,14,8,11,17,22,20,14,19,15,4,8,7,9,9,8,9,8,12,11,9,12,11,9,14,"SM-GE64R_S188_E1-50"
"158",43,18,13,19,16,18,24,21,11,1,20,14,19,15,4,15,3,3,9,2,9,8,1,1,1,2,14,4,3,"SM-GE64R_S189_E1-50"
"159",43,18,13,19,16,18,24,21,11,1,20,14,19,15,4,15,3,3,9,2,9,8,1,1,1,2,14,4,3,"SM-GE64R_S190_E1-50"
"160",8,11,29,33,25,14,8,11,17,22,20,14,19,15,4,8,7,9,9,2,9,8,1,1,1,2,14,4,3,"SM-GE64R_S191_E1-50"
"161",8,11,29,33,25,14,8,11,17,22,20,14,19,15,4,8,7,9,9,8,9,8,12,11,9,12,11,9,14,"SM-GE64R_S192_E1-50"
"162",28,27,19,23,27,21,15,16,15,17,13,18,15,9,13,13,12,11,12,11,12,13,8,3,2,5,5,13,10,"SM-GE64S_S001_E1-50"
"163",7,37,20,29,20,8,10,9,6,16,15,13,14,10,8,9,13,13,13,10,11,9,7,7,7,8,2,5,4,"SM-GE64S_S002_E1-50"
"164",46,38,17,9,10,9,18,3,3,18,6,7,18,16,18,4,14,4,5,4,5,2,3,12,10,4,10,11,11,"SM-GE64S_S003_E1-50"
"165",11,12,24,23,27,21,15,16,15,17,13,18,15,9,13,13,12,11,12,11,12,13,8,3,2,5,5,13,10,"SM-GE64S_S004_E1-50"
"166",28,27,19,23,27,21,15,16,15,17,13,18,15,9,13,13,12,11,12,11,12,13,8,3,2,5,5,13,10,"SM-GE64S_S005_E1-50"
"167",28,27,19,23,27,21,15,16,15,17,13,18,15,9,13,13,12,11,12,11,12,13,8,3,2,5,5,13,10,"SM-GE64S_S006_E1-50"
"168",46,27,19,9,10,9,18,3,3,18,6,7,18,16,13,13,14,4,5,4,5,13,8,3,2,5,5,13,10,"SM-GE64S_S007_E1-50"
"169",10,9,3,2,4,2,18,3,3,18,6,7,18,16,18,4,14,4,5,4,5,2,3,12,10,4,10,11,11,"SM-GE64S_S008_E1-50"
"170",11,12,24,23,27,21,15,16,15,17,13,18,15,9,13,13,12,11,12,11,12,13,8,3,2,5,5,13,10,"SM-GE64S_S009_E1-50"
"171",46,38,17,2,4,2,18,3,3,18,6,7,18,16,18,4,14,4,5,4,5,2,3,12,10,4,10,11,11,"SM-GE64S_S010_E1-50"
"172",46,38,17,9,10,9,18,3,3,18,6,7,18,16,18,4,14,4,5,4,5,2,3,12,10,4,10,11,11,"SM-GE64S_S011_E1-50"
"173",28,27,19,23,27,21,15,16,15,17,13,18,15,9,13,13,12,11,12,11,12,13,8,3,2,5,5,13,10,"SM-GE64S_S012_E1-50"
