"","cells","x","y"
"80","SM-GE64R_S100_E1-50",25.0852306800044,-8.71874019824442
"81","SM-GE64R_S101_E1-50",39.2414734672812,-10.6941101142416
"82","SM-GE64R_S102_E1-50",0.895821862709315,-21.4806297830382
"83","SM-GE64R_S103_E1-50",30.0018198305436,-17.535491787231
"84","SM-GE64R_S104_E1-50",36.9293644072341,-7.95848299784923
"85","SM-GE64R_S105_E1-50",29.4923360514857,-10.6571352840904
"86","SM-GE64R_S106_E1-50",38.1018312591545,-15.5120551290249
"87","SM-GE64R_S107_E1-50",35.3266646263984,-9.50143238184454
"88","SM-GE64R_S108_E1-50",30.8508553966258,-18.0862098262413
"89","SM-GE64R_S109_E1-50",36.8096400880145,-7.52125138475504
"90","SM-GE64R_S110_E1-50",27.6916540545605,-17.3540584415457
